Flow,Unit,MEXICO_MODULES_BG,MEXICO_SECTIONS_BG,Delta,Module_sources,Section_sources
"market for steel, low-alloyed + metal working, average for steel product manufacturing",kg,0.00884695,0.0,-0.00884695,control_backplane_card_component_results,
"metal working, average for aluminium product manufacturing",kg,0.0,10.36205927,10.36205927,,SECTION_Hardware_ipe_flows_from_parameters; SECTION_Mechanical_components_ipe_flows_from_parameters
"metal working, average for chromium steel product manufacturing",kg,0.0,0.00164785,0.00164785,,SECTION_Hardware_ipe_flows_from_parameters
"metal working, average for copper product manufacturing",kg,0.0,0.07680000000000001,0.07680000000000001,,SECTION_Electromechanical_ipe_flows_from_parameters; SECTION_Hardware_ipe_flows_from_parameters; SECTION_Mechanical_components_ipe_flows_from_parameters
"metal working, average for steel product manufacturing",kg,0.0,0.01643005,0.01643005,,SECTION_Hardware_ipe_flows_from_parameters
"mounting, surface mount technology, Pb-free solder",m2,0.0,0.15135,0.15135,4Q_output_control_card_component_results; 4Q_power_card_component_results; analog_control_component_results; contactor_card_component_results; digital_control_component_results; fan_supervision_card_component_results; inverter_power_card_component_results,SECTION_Assembly_Processes_ipe_flows_from_parameters
"mounting, through-hole technology, Pb-free solder",m2,0.0,0.2031,0.2031,4Q_output_control_card_component_results; 4Q_output_power_card_component_results; 4Q_power_card_component_results; analog_control_component_results; contactor_card_component_results; digital_control_component_results; fan_supervision_card_component_results; filter_card_component_results; fuse_card_component_results; inverter_power_card_component_results,SECTION_Assembly_Processes_ipe_flows_from_parameters
nylon 6,kg,0.0036,0.0036,0.0,power_inductor_PM6249_component_results,SECTION_Magnetics_ipe_flows_from_parameters
polycarbonate,kg,0.0,0.00129,0.00129,,SECTION_Hardware_ipe_flows_from_parameters
polycarbonate + injection moulding,kg,0.00129,0.0,-0.00129,digital_control_component_results,
"polyester resin, unsaturated",kg,0.0,0.11,0.11,,SECTION_Magnetics_ipe_flows_from_parameters
"polyester resin, unsaturated + injection moulding",kg,0.11,0.0,-0.11,HF_Power_Transformer_PM624929_component_results; power_inductor_PM6249_component_results,
polytetrafluoroethylene,kg,0.0063999999999999994,0.0064,8.673617379884035e-19,HF_Power_Transformer_PM624929_component_results; power_inductor_PM6249_component_results,SECTION_Magnetics_ipe_flows_from_parameters
"printed wiring board production, for through-hole mounting, Pb free surface",m2,0.5169472,0.16784,-0.34910720000000006,4Q_output_control_card_component_results; 4Q_output_power_card_component_results; 4Q_power_card_component_results; analog_control_component_results; contactor_card_component_results; digital_control_component_results; fan_supervision_card_component_results; filter_card_component_results; fuse_card_component_results; inverter_power_card_component_results,SECTION_PCB_ipe_flows_from_parameters
"resistor production, metal film type, through-hole mounting",kg,0.0028,0.0028,0.0,4Q_output_control_card_component_results,SECTION_Passives_ipe_flows_from_parameters
"resistor production, surface-mounted",kg,0.010868252500000012,0.0108682525,-1.214306433183765e-17,4Q_output_control_card_component_results; 4Q_power_card_component_results; analog_control_component_results; contactor_card_component_results; digital_control_component_results; fan_supervision_card_component_results; inverter_power_card_component_results,SECTION_Passives_ipe_flows_from_parameters
"resistor production, wirewound, through-hole mounting",kg,0.005948,0.005948,0.0,contactor_card_component_results,SECTION_Passives_ipe_flows_from_parameters
"resistor, metal film type, through-hole mounting",kg,0.00641001,0.00641001,0.0,4Q_output_power_card_component_results; filter_card_component_results; fuse_card_component_results,SECTION_Passives_ipe_flows_from_parameters
"steel, chromium steel 18/8",kg,0.0,0.00164785,0.00164785,,SECTION_Hardware_ipe_flows_from_parameters
"steel, chromium steel 18/8 + metal working, average for chromium steel product manufacturing",kg,0.00164785,0.0,-0.00164785,4Q_output_power_card_component_results,
"steel, low-alloyed",kg,0.0,0.0075831,0.0075831,,SECTION_Hardware_ipe_flows_from_parameters
"steel, low-alloyed + metal working, average for steel product manufacturing",kg,0.00379155,0.0,-0.00379155,4Q_power_card_component_results; fan_supervision_card_component_results; inverter_power_card_component_results,
"steel, low-alloyed+metal working, average for steel product manufacturing",kg,0.00379155,0.0,-0.00379155,4Q_output_control_card_component_results,
ten,kg,0.05109999999999999,0.0511,6.938893903907228e-18,4Q_output_control_card_component_results; 4Q_power_card_component_results; inverter_power_card_component_results,SECTION_Modules_ipe_flows_from_parameters
"transformer production, low voltage use",kg,0.12618000000000001,0.12618000000000001,0.0,contactor_card_component_results; filter_card_component_results; inverter_power_card_component_results,SECTION_Electromechanical_ipe_flows_from_parameters; SECTION_Magnetics_ipe_flows_from_parameters
"transistor production, surface-mounted",kg,0.0017238925000000003,0.0017238925,-2.168404344971009e-19,4Q_output_control_card_component_results; 4Q_power_card_component_results; analog_control_component_results; contactor_card_component_results; digital_control_component_results; inverter_power_card_component_results,SECTION_Discrete_Semiconductors_ipe_flows_from_parameters
"transistor production, wired, big size, through-hole mounting",kg,0.10297999999999999,0.10298,1.3877787807814457e-17,4Q_output_power_card_component_results; 4Q_power_card_component_results; contactor_card_component_results,SECTION_Discrete_Semiconductors_ipe_flows_from_parameters
"transistor production, wired, small size, through-hole mounting",kg,0.0038,0.0038,0.0,4Q_power_card_component_results,SECTION_Discrete_Semiconductors_ipe_flows_from_parameters
"wire drawing, copper",kg,0.0,0.6054633,0.6054633,,SECTION_Magnetics_ipe_flows_from_parameters
