Flow,UUID,flow/process,Unit,Amount,Direction
"printed wiring board production, for through-hole mounting, Pb free surface",,m2,0.017,Input
"electronic component, passive, unspecified",,kg,0.00016,Input
"electric connector production, peripheral type buss",,kg,0.005949,Input
"transformer production, low voltage use",,kg,0.0827,Input
"resistor, metal film type, through-hole mounting",,kg,0.00497724,Input
"mounting, through-hole technology, Pb-free solder",,m2,0.017,Input
"capacitor production, film type, for through-hole mounting",,kg,0.146907,Input
"capacitor production, electrolyte type, > 2cm height",,kg,0.5615588,Input
"electric connector production, wire clamp",,kg,0.00137,Input
