Designators,Casing,Section,Subsection,Category,Manufacturer,Part_Number,Description,number_elements,unit,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,mass_space_relation_m2/kg,Database,Ecoinvent_flow,Ecoinvent_unit,Direction,Comments
PCB,,PCB,,,,PCB_ANAL_CONTROL,,1,m2,,YES,195,100,,,,,,3.08,EcoInvent,"printed wiring board production, for through-hole mounting, Pb free surface",m2,Input,
"C1_ADC_1, C1_ADC_2, C1_ADC_3, C1_ADC_4, C1_ADC_5, C1_ADC_6, C41_ANA_CAL_0, C41_ANA_CAL_1, C146, C175, C178, C179, C180, C189",0805,Passives,Capacitors,MLCC,GENERIC,CC0805_10UF_25V_10%_X5R,"SMD Multilayer Chip Ceramic Capacitor, 100nF, 25V, X7R, 0805",14,kg,,NO,2.0,1.25,0.8,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,mass from casing
"C2_ADC_1, C2_ADC_2, C2_ADC_3, C2_ADC_4, C2_ADC_5, C2_ADC_6, C4_ADC_1, C4_ADC_2, C4_ADC_3, C4_ADC_4, C4_ADC_5, C4_ADC_6, C6_ADC_1, C6_ADC_2, C6_ADC_3, C6_ADC_4, C6_ADC_5, C6_ADC_6, C28_ANA_CAL_0, C28_ANA_CAL_1, C29_ANA_CAL_0, C29_ANA_CAL_1, C30_ANA_CAL_0, C30_ANA_CAL_1, C31_ANA_CAL_0, C31_ANA_CAL_1, C33_ANA_CAL_0, C33_ANA_CAL_1, C34_ANA_CAL_0, C34_ANA_CAL_1, C36_ANA_CAL_0, C36_ANA_CAL_1, C37_ANA_CAL_0, C37_ANA_CAL_1, C38_ANA_CAL_0, C38_ANA_CAL_1, C42_ANA_CAL_0, C42_ANA_CAL_1, C43_ANA_CAL_0, C43_ANA_CAL_1, C45_ANA_CAL_0, C45_ANA_CAL_1, C46_ANA_CAL_0, C46_ANA_CAL_1, C49, C50, C51, C55, C56, C57, C59, C60, C64, C71, C72, C73, C74, C75, C76, C77, C83, C84, C85, C86, C87, C88, C91, C92, C94, C95, C98, C99, C100, C101, C102, C103, C104, C108, C109, C110, C111, C112, C145, C149, C154, C155, C156_ANA_CAL_0, C156_ANA_CAL_1, C157_ANA_CAL_0, C157_ANA_CAL_1, C161, C163, C164, C165, C166, C167, C168, C169, C170, C171, C173, C174, C176, C182, C183, C184, C185, C186, C187, C188, C196, C197, C198, C199, C200, C201, C202, C203, C204, C205, C206, C207, C208, C212, C213, C214, C215",0402,Passives,Capacitors,MLCC,GENERIC,CC0402_100NF_50V_10%_X7R,"SMD Multilayer Chip Ceramic Capacitor, 100nF, 50V, X7R, 0402",127,kg,,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,mass from casing
"C3_ADC_1, C3_ADC_2, C3_ADC_3, C3_ADC_4, C3_ADC_5, C3_ADC_6, C5_ADC_1, C5_ADC_2, C5_ADC_3, C5_ADC_4, C5_ADC_5, C5_ADC_6, C7_ADC_1, C7_ADC_2, C7_ADC_3, C7_ADC_4, C7_ADC_5, C7_ADC_6, C11, C24_ANA_CAL_0, C24_ANA_CAL_1, C26, C32_ANA_CAL_0, C32_ANA_CAL_1, C35_ANA_CAL_0, C35_ANA_CAL_1, C39_ANA_CAL_0, C39_ANA_CAL_1, C44_ANA_CAL_0, C44_ANA_CAL_1, C48, C54, C58, C61, C93, C159, C172, C194, C195",0402,Passives,Capacitors,MLCC,GENERIC,CC0402_1UF_25V_10%_X5R,"SMD Multilayer Chip Ceramic Capacitor, 10µF, 6.3V, X5R, 0402",39,kg,,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402
"C8_ANA_CAL_0, C8_ANA_CAL_1, C9_ANA_CAL_0, C9_ANA_CAL_1",0603,Passives,Capacitors,MLCC,GENERIC,CC0603_4.7NF_50V_5%_C0G,"SMD Multilayer Chip Ceramic Capacitor, 4.7NF_50V_5%, 0603",4,kg,,NO,1.6,0.8,0.8,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402
"C10, C12_ANA_CAL_0, C12_ANA_CAL_1, C13_ANA_CAL_0, C13_ANA_CAL_1, C14, C17, C47, C52, C62, C63, C65, C89, C90, C96, C97, C105, C107, C151, C158, C160, C181, C191, C192, C209",0603,Passives,Capacitors,MLCC,GENERIC,CC0603_10NF_50V_5%_C0G,10nF ±5% 50V C0G SMD Multilayer Chip Ceramic Capacitor,25,kg,,NO,1.6,0.8,0.8,,6,7,0,0,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Generic 0603 MLCC mass 6.5 mg.
"C15_ANA_CAL_0, C15_ANA_CAL_1, C27_ANA_CAL_0, C27_ANA_CAL_1, C53, C106, C193",0402,Passives,Capacitors,MLCC,GENERIC,CC0402_100PF_25V_1%_C0G,100pF ±1% 25V C0G SMD Multilayer Chip Ceramic Capacitor,7,kg,,NO,1.0,0.5,0.5,,6,7,0,0,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Generic 0402 MLCC mass 1.6 mg.
"C16_ANA_CAL_0, C16_ANA_CAL_1, C25_ANA_CAL_0, C25_ANA_CAL_1, C78, C80, C82, C113_ADC_1, C113_ADC_2, C113_ADC_3, C113_ADC_4, C113_ADC_5, C113_ADC_6, C116_ADC_1, C116_ADC_2, C116_ADC_3, C116_ADC_4, C116_ADC_5, C116_ADC_6, C117_ADC_1, C117_ADC_2, C117_ADC_3, C117_ADC_4, C117_ADC_5, C117_ADC_6, C120_ADC_1, C120_ADC_2, C120_ADC_3, C120_ADC_4, C120_ADC_5, C120_ADC_6, C121_ADC_1, C121_ADC_2, C121_ADC_3, C121_ADC_4, C121_ADC_5, C121_ADC_6, C124_ADC_1, C124_ADC_2, C124_ADC_3, C124_ADC_4, C124_ADC_5, C124_ADC_6, C125_ADC_1, C125_ADC_2, C125_ADC_3, C125_ADC_4, C125_ADC_5, C125_ADC_6, C128_ADC_1, C128_ADC_2, C128_ADC_3, C128_ADC_4, C128_ADC_5, C128_ADC_6, C129_ADC_1, C129_ADC_2, C129_ADC_3, C129_ADC_4, C129_ADC_5, C129_ADC_6, C132_ADC_1, C132_ADC_2, C132_ADC_3, C132_ADC_4, C132_ADC_5, C132_ADC_6, C133_ADC_1, C133_ADC_2, C133_ADC_3, C133_ADC_4, C133_ADC_5, C133_ADC_6, C136_ADC_1, C136_ADC_2, C136_ADC_3, C136_ADC_4, C136_ADC_5, C136_ADC_6, C137_ADC_1, C137_ADC_2, C137_ADC_3, C137_ADC_4, C137_ADC_5, C137_ADC_6, C140_ADC_1, C140_ADC_2, C140_ADC_3, C140_ADC_4, C140_ADC_5, C140_ADC_6, C141_ADC_1, C141_ADC_2, C141_ADC_3, C141_ADC_4, C141_ADC_5, C141_ADC_6, C144_ADC_1, C144_ADC_2, C144_ADC_3, C144_ADC_4, C144_ADC_5, C144_ADC_6, C148, C152",0402,Passives,Capacitors,MLCC,GENERIC,CC0402_33PF_50V_5%_C0G,33pF ±5% 50V C0G SMD Multilayer Chip Ceramic Capacitor,105,kg,,NO,1.0,0.5,0.5,,6,7,0,0,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Generic 0402 MLCC mass 1.6 mg.
"C18_ANA_CAL_0, C18_ANA_CAL_1, C23_ANA_CAL_0, C23_ANA_CAL_1",0402,Passives,Capacitors,MLCC,GENERIC,CC0402_47PF_50V_5%_C0G,47pF ±5% 50V C0G SMD Multilayer Chip Ceramic Capacitor,4,kg,,NO,1.0,0.5,0.5,,6,7,0,0,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Generic 0402 MLCC.
"C19_ANA_CAL_0, C19_ANA_CAL_1",0402,Passives,Capacitors,MLCC,GENERIC,CC0402_330PF_50V_5%_C0G,330pF ±5% 50V C0G SMD Multilayer Chip Ceramic Capacitor,2,kg,,NO,1.0,0.5,0.5,,6,7,0,0,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Generic 0402 MLCC.
"C20_ANA_CAL_0, C20_ANA_CAL_1",0402,Passives,Capacitors,MLCC,GENERIC,CC0402_220PF_50V_5%_C0G,220pF ±5% 50V C0G SMD Multilayer Chip Ceramic Capacitor,2,kg,,NO,1.0,0.5,0.5,,6,7,0,0,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Generic 0402 MLCC.
"C21_ANA_CAL_0, C21_ANA_CAL_1",0402,Passives,Capacitors,MLCC,GENERIC,CC0402_1.5NF_50V_5%_C0G,1.5nF ±5% 50V C0G SMD Multilayer Chip Ceramic Capacitor,2,kg,,NO,1.0,0.5,0.5,,6,7,0,0,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Generic 0402 MLCC.
"C22_ANA_CAL_0, C22_ANA_CAL_1",0402,Passives,Capacitors,MLCC,GENERIC,CC0402_1NF_50V_5%_C0G,1nF ±5% 50V C0G SMD Multilayer Chip Ceramic Capacitor,2,kg,,NO,1.0,0.5,0.5,,6,7,0,0,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Generic 0402 MLCC.
"C40_ANA_CAL_0, C40_ANA_CAL_1, C190",1210,Passives,Capacitors,MLCC,GENERIC,CC1210_47UF_10V_10%_X7R,47µF ±10% 10V X7R SMD Multilayer Chip Ceramic Capacitor,3,kg,,NO,3.2,2.5,2.5,,6,7,0,0,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Caing
"C66, C69, C70, C147, C162",E,Passives,Capacitors,Tantalum,GENERIC,CTE7343-43_100UF_25V_10%_LESR0150,100µF ±10% 25V Low ESR Solid Tantalum Chip Capacitor,5,kg,,NO,7.3,4.3,4.1,,5,6,0,0,EcoInvent,"capacitor production, electrolyte type, < 2cm height",kg,Input,Caing
"C67, C68, C79, C81, C150, C153",0805,Passives,Capacitors,MLCC,GENERIC,CC0805_100NF_50V_1%_NP0,100nF ±1% 50V NP0 SMD Multilayer Chip Ceramic Capacitor,6,kg,,NO,2.0,1.25,0.8,,6,7,0,0,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Generic 0805
"C114_ADC_1, C114_ADC_2, C114_ADC_3, C114_ADC_4, C114_ADC_5, C114_ADC_6, C115_ADC_1, C115_ADC_2, C115_ADC_3, C115_ADC_4, C115_ADC_5, C115_ADC_6, C118_ADC_1, C118_ADC_2, C118_ADC_3, C118_ADC_4, C118_ADC_5, C118_ADC_6, C119_ADC_1, C119_ADC_2, C119_ADC_3, C119_ADC_4, C119_ADC_5, C119_ADC_6, C122_ADC_1, C122_ADC_2, C122_ADC_3, C122_ADC_4, C122_ADC_5, C122_ADC_6, C123_ADC_1, C123_ADC_2, C123_ADC_3, C123_ADC_4, C123_ADC_5, C123_ADC_6, C126_ADC_1, C126_ADC_2, C126_ADC_3, C126_ADC_4, C126_ADC_5, C126_ADC_6, C127_ADC_1, C127_ADC_2, C127_ADC_3, C127_ADC_4, C127_ADC_5, C127_ADC_6, C130_ADC_1, C130_ADC_2, C130_ADC_3, C130_ADC_4, C130_ADC_5, C130_ADC_6, C131_ADC_1, C131_ADC_2, C131_ADC_3, C131_ADC_4, C131_ADC_5, C131_ADC_6, C134_ADC_1, C134_ADC_2, C134_ADC_3, C134_ADC_4, C134_ADC_5, C134_ADC_6, C135_ADC_1, C135_ADC_2, C135_ADC_3, C135_ADC_4, C135_ADC_5, C135_ADC_6, C138_ADC_1, C138_ADC_2, C138_ADC_3, C138_ADC_4, C138_ADC_5, C138_ADC_6, C139_ADC_1, C139_ADC_2, C139_ADC_3, C139_ADC_4, C139_ADC_5, C139_ADC_6, C142_ADC_1, C142_ADC_2, C142_ADC_3, C142_ADC_4, C142_ADC_5, C142_ADC_6, C143_ADC_1, C143_ADC_2, C143_ADC_3, C143_ADC_4, C143_ADC_5, C143_ADC_6, C210, C211",0402,Passives,Capacitors,MLCC,GENERIC,CC0402_680PF_50V_1%_C0G,680pF ±1% 50V C0G SMD Multilayer Chip Ceramic Capacitor,98,kg,,NO,1.0,0.5,0.5,,6,7,0,0,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Generic 0402 MLCC mass 1.6 mg.
C177,0402,Passives,Capacitors,MLCC,GENERIC,CC0402_10PF_50V_5%_C0G,10pF ±5% 50V C0G SMD Multilayer Chip Ceramic Capacitor,1,kg,,NO,1.0,0.5,0.5,,6,7,0,0,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Generic 0402 MLCC.
"D1, D2",SOT23-3,Discrete Semiconductors,Small signal,Dual Diode,Nexperia,BAV99,75V 250mW Dual Series Switching Diode,2,kg,,NO,2.9,1.3,1.0,,1.2,1.3,0.0000035,0,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,Mass from SOT23‑3 casing (8.2 mg). BAV99 is a dual diode in SOT23‑3.
"D3, D4, D5, D8, D9",DO-214AC,Discrete Semiconductors,Small signal,Schottky,DIODES INC.,SS16,60V 1A Surface Mount Schottky Rectifier,5,kg,0.00012,YES,,,,,,,,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,Mass from DO‑214AC (SMA) typical 0.12 g. SS16 is a Schottky diode in SMA package.
"D6, D10, D11",0402,Discrete Semiconductors,Small signal,ESD Protection,TEXAS INSTRUMENTS,0402ESDA-MLP,0.05pF 8kV Bidirectional ESD Voltage Suppressor,3,kg,0.0000014,YES,1.0,0.5,0.5,,1.2,1.3,0.0000002,0,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,Mass estimated from 0402 package (1.6 mg). Plastic SMD diode with copper leads.
D12,SOD-323-2,Discrete Semiconductors,Small signal,Zener,ONSEMI,MM3Z3V6T1G,3.6V 200mW Zener Voltage Regulator,1,kg,0.00001,YES,,,,,,,,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,
F1,0603,Passives,Protection,,LITTELFUSE,0603L010,PTC Resettable Fuse 100mA 15V 0603,1,kg,,NO,1.6,0.8,0.8,,1.5,2.5,0,0,EcoInvent,"electronic component, passive, unspecified",kg,Input,
"IC1_ADC_1, IC1_ADC_2, IC1_ADC_3, IC1_ADC_4, IC1_ADC_5, IC1_ADC_6, IC3_ADC_1, IC3_ADC_2, IC3_ADC_3, IC3_ADC_4, IC3_ADC_5, IC3_ADC_6, IC4_ADC_1, IC4_ADC_2, IC4_ADC_3, IC4_ADC_4, IC4_ADC_5, IC4_ADC_6",VQFN-20,IC,Digital,Logic,TEXAS INSTRUMENTS,SN74AUC245RGYR,"8-ch, 0.8-V to 2.7-V high speed buffers with 3-state outputs",18,kg,0.000043,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,https://www.mouser.ch/ProductDetail/Texas-Instruments/SN74AUC245RGYR?qs=0kuPHEOuoRTOR7HjtNv3EQ%3D%3D
"IC2_ADC_1, IC2_ADC_2, IC2_ADC_3, IC2_ADC_4, IC2_ADC_5, IC2_ADC_6",BGA-64,IC,Mixed-Signal,Data Acquisition,ANALOG DEVICES,AD4857BBC,"8-Channel Simultaneous Sampling, 16-Bit 1 MSPS DAS",6,kg,,NO,7,7,1.42,,1.2,1.3,0.00001,,EcoInvent,"integrated circuit production, logic type",kg,Input,Dimmensions
"IC5_ANA_CAL_0, IC5_ANA_CAL_1, IC13, IC30_ANA_CAL_0, IC30_ANA_CAL_1, IC39",MSOP-8,IC,Analog,Amplifier,ANALOG DEVICES,AD8672ARM,Dual Operational Amplifier,6,kg,0.00014,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,https://www.mouser.ch/ProductDetail/Analog-Devices/AD8672ARMZ-REEL?qs=%2FtpEQrCGXCwmHEbuIHrFtA%3D%3D
"IC6_ANA_CAL_0, IC6_ANA_CAL_1",SOIC8,IC,Analog,Amplifier,TEXAS INSTRUMENTS,THS4531ID,Differential Amplifier,2,kg,,NO,4.9,3.9,1.75,,1.2,1.2,,,EcoInvent,"integrated circuit production, logic type",kg,Input,Mass from SOIC‑8 package
"IC7_ANA_CAL_0, IC7_ANA_CAL_1",SOIC16,IC,Analog,Switch,ANALOG DEVICES,DG412DY+,Quad SPST CMOS Analog Switches,2,kg,,NO,10,3.9,1.75,,1.2,1.3,0.1,,EcoInvent,"integrated circuit production, logic type",kg,Input,Mass from SOIC‑16
"IC8_ANA_CAL_0, IC8_ANA_CAL_1, IC10_ANA_CAL_0, IC10_ANA_CAL_1, IC20, IC21",SM-8,IC,Digital,Logic,TEXAS INSTRUMENTS,SN74AVC2T45DCT,Dual-Bit Dual-Supply Bus Transceiver with Configurable Voltage Translation,6,kg,0.0000234,YES,,,,,,,,0,EcoInvent,"integrated circuit production, logic type",kg,Input,
"IC9_ANA_CAL_0, IC9_ANA_CAL_1",MSOP-16,IC,Mixed-Signal,ADC,LINEAR TECHNOLOGY,LTC2378CMS-20,"20-Bit, 1Msps, Low Power SAR ADC",2,kg,0.000343,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,mass from casing
IC11,TSSOP-14,IC,Analog,Amplifier,TEXAS INSTRUMENTS,OPA4192IPW,Quad Operational Amplifier,1,kg,0.0000574,YES,,,,,,,,0,EcoInvent,"integrated circuit production, logic type",kg,Input,Mass from TSSOP‑14 package (5×4.4×1.0 mm) volume × 1.25 g/cm³ + metal_extra 5 mg ≈ 32.5 mg. OPA4192IPW datasheet.
"IC12, IC14, IC25, IC28, IC29",VSSOP-8,IC,Digital,Logic,TEXAS INSTRUMENTS,SN74LVC2T45DCU,Dual-Bit Dual-Supply Bus Transceiver,5,kg,0.00001,YES,,,,,,,,0,EcoInvent,"integrated circuit production, logic type",kg,Input,https://www.mouser.ch/ProductDetail/Texas-Instruments/SN74LVC2T45DCURE4?qs=0smPjiIwnfLuS8KHnlVgZw%3D%3D
IC15,SOIC-14,IC,Mixed-Signal,DAC,MAXIM INTEGRATED,MAX5719AGSD+,"20-Bit, Serial-Input, Voltage Output DAC",1,kg,0.000174,YES,8.65,3.9,1.75,,1.2,1.3,0.0001,0,EcoInvent,"integrated circuit production, logic type",kg,Input,Mass from SOIC‑14 wide package (8.65×3.9×1.75 mm) volume × 1.25 g/cm³ + metal_extra 100 mg ≈ 174 mg. MAX5719AGSD+ datasheet.
"IC16, IC27",TSSOP-14,IC,Digital,Logic,TEXAS INSTRUMENTS,SN74ALVC32PW,Quad 2-Input OR Gate,2,kg,0.0000325,YES,5.0,4.4,1.0,,1.2,1.3,0.000005,0,EcoInvent,"integrated circuit production, logic type",kg,Input,Mass from TSSOP‑14 package. Same as OPA4192.
"IC17, IC18",VSSOP-8,IC,Analog,Amplifier,ANALOG DEVICES,ADA4522-2ARMZ,Dual Operational Amplifier,2,kg,0.0000116,YES,3.0,3.0,0.85,,1.2,1.3,0.000002,0,EcoInvent,"integrated circuit production, logic type",kg,Input,"Mass from VSSOP‑8 package, same as AD8672ARM."
IC19,QFN-33,IC,Analog,Multiplexer,ANALOG DEVICES,ADG1407BCP,"9.5 Ω RON, 16-Channel, Differential 8-Channel iCMOS Multiplexers",1,kg,0.00003,YES,5.0,5.0,0.8,,1.2,1.3,0.000005,0,EcoInvent,"integrated circuit production, logic type",kg,Input,Mass from QFN‑33 package (5×5×0.8 mm) volume × 1.25 g/cm³ + metal_extra 5 mg ≈ 30 mg. ADG1407BCP datasheet.
"IC22, IC33",MSOP-8,IC,Analog,Power Management,TEXAS INSTRUMENTS,TPS7A4901DGN,"+36V, +150mA, Ultralow-Noise, Positive Linear Regulator",2,kg,0.00014,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,Mass from MSOP‑8 package with exposed pad (3×3×1.1 mm) volume × 1.25 g/cm³ + metal_extra 2 mg ≈ 12 mg. TPS7A4901DGN datasheet.
"IC23, IC36, IC41",MSOP-8,IC,Analog,Amplifier,TEXAS INSTRUMENTS,OPA2192IDGK,Dual Operational Amplifier,3,kg,0.00014,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,Mass from MSOP‑8 package (3×3×0.85 mm) – 11.6 mg.
IC24,SOT23-3,IC,Analog,Reference,TEXAS INSTRUMENTS,TL431ACL3T,Precision Reference,1,kg,0.0000082,YES,2.9,1.3,1.0,0.00377,1.2,1.3,0.0000035,0,EcoInvent,"integrated circuit production, logic type",kg,Input,Mass from SOT23‑3 package (8.2 mg).
"IC26, IC31",SOT23-5,IC,Analog,Comparator,TEXAS INSTRUMENTS,TL331IDBVT,Single Voltage Comparator,2,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,0,EcoInvent,"integrated circuit production, logic type",kg,Input,mass from casing
IC32,MSOP-16,IC,Analog,Power Management,LINEAR TECHNOLOGY,LT8610EMSE,"42V, 2.5A Synchronous Step-Down Regulator",1,kg,0.000343,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,https://www.mouser.ch/ProductDetail/Analog-Devices/LT8610EMSEPBF?qs=hVkxg5c3xu%252B%252BFvD8yUlxUw%3D%3D
IC34,TSSOP-8,IC,Analog,Sensor,NXP,PCT2075DP,"Ultra Low Power, 1.8V, 1°C Accuracy Digital Temperature Sensor",1,kg,0.000023550,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,Mass info: https://www.mouser.ch/ProductDetail/NXP-Semiconductors/PCT2075DP118?qs=lH1ILECabYlwLBLKMiotHw%3D%3D
IC35,SOT23-6,IC,Memory,EEPROM,MICROCHIP,24AA025E48T-I/OT,"1.7V-5.5V, 2K I2C Serial EEPROM",1,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,"integrated circuit production, logic type",kg,Input,Mass from SOT23‑6 package (2.9×1.6×1.1 mm) volume × 1.25 g/cm³ + metal_extra 2 mg ≈ 8.4 mg.
IC37,SOIC-8,IC,Mixed-Signal,Isolator,TEXAS INSTRUMENTS,ISO1541D,Low-Power Bi-Directional I2C Isolator,1,kg,,NO,4.9,3.9,1.75,,1.2,1.2,,,EcoInvent,"integrated circuit production, logic type",kg,Input,mass from casing
IC38,,IC,Digital,IO Expander,TEXAS INSTRUMENTS,TCA6424ARGJ,24-bit I2C and SMBus I/O Expander,1,kg,0.0000257,YES,,,,,,,,0,EcoInvent,"integrated circuit production, logic type",kg,Input,https://www.mouser.ch/ProductDetail/Texas-Instruments/TCA6424ARGJR?qs=Ze4%2FuFuz19LzqLgNFpYqlQ%3D%3D
IC40,VQFN-16,IC,Mixed-Signal,Power Monitor,TEXAS INSTRUMENTS,INA3221AIRGV,"Triple-Channel, High-Side Measurement, Shunt and Bus Voltage Monitor",1,kg,0.00005,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,Mass from QFN‑17 package (4×4×0.9 mm) volume × 1.25 g/cm³ + metal_extra 5 mg ≈ 23 mg. INA3221AIRGV datasheet.
IC42,BGA-25,Modules,DC/DC Converters,,ANALOG DEVICES,LTM8074IY,"40VIN, 1.2A Silent Switcher µModule Regulator",1,kg,0.001834,YES,,,,,,,,,EcoInvent,"electronic component production, active, unspecified",kg,Input,"MODULE BECAUSE IT HAS DIFFERENT TYPE OF COMPONENTS,. MASS INFO:https://www.mouser.ch/ProductDetail/Analog-Devices/LTM8074IYPBF?qs=qSfuJ%252Bfl%2Fd668LF%252B05dveg%3D%3D"
J1,,Electromechanical,Connectors,FFC/FPC,MOLEX,2203631200,"Easy-On FFC/FPC Connector, 0.40mm Pitch, FD4P Series, Right-Angle, Bottom Contact, 2.00mm Height, 120 Circuits, Gold over Nickel Plating",1,kg,0.0015,YES,,,,,,,,,EcoInvent,"electric connector production, peripheral type buss",kg,Input,
J2,,Electromechanical,Connectors,FFC/FPC,MOLEX,2203630800,"Easy-On FFC/FPC Connector, 0.40mm Pitch, FD4P Series, Right-Angle, Bottom Contact, 2.00mm Height, 80 Circuits, Gold over Nickel Plating",1,kg,0.0005,YES,,,,,,,,,EcoInvent,"electric connector production, peripheral type buss",kg,Input,
J3,,Electromechanical,Connectors,PicoBlade,MOLEX,53261-1071,"1.25mm (.049\"") Pitch PicoBlade™ Surface Mount 10 Circuits Right Angle Header",1,kg,0.000279,YES,,,,,,,,,EcoInvent,"electric connector production, wire clamp",kg,Input,Mass estimated (~1g).
J4,,Electromechanical,Connectors,Pin Header,SAMTEC,FTS-111-03-L-D,"22-position, 2.54mm pitch, Surface Mount Header",1,kg,0.002,NO,14,3.42,1.27,,1.3,1.5,0.0027,0,EcoInvent,"electric connector production, wire clamp",kg,Input,from measurements and stimation
J5,,Electromechanical,Connectors,Right Angle Header,AMPHENOL,10052837-101LF,"96 Contacts, 2mm Pitch, 8 Columns, 4 Pairs per Column, 2 Walls",1,kg,0.015169,YES,,,,,,,,,EcoInvent,"electric connector production, peripheral type buss",kg,Input,https://www.mouser.ch/ProductDetail/Amphenol-FCI/10052837-101LF?qs=qObghIyrWxqSnJki6yjatA%3D%3D
J6,,Electromechanical,Connectors,Right Angle Header,AMPHENOL,10052825-101LF,"72 Contacts, 2mm Pitch, 6 Columns, 4 Pairs per Column, 4 Walls",1,kg,0.015336,YES,,,,,,,,0,EcoInvent,"electric connector production, peripheral type buss",kg,Input,mass: https://www.mouser.ch/ProductDetail/Amphenol-FCI/10052825-101LF?qs=qObghIyrWxrXt6HI1S6RBA%3D%3D
J7,,Electromechanical,Connectors,D-Sub,TE CONNECTIVITY,2311763-2,High Density D-sub 15 Position Female,1,kg,0.0084,YES,,,,,,,,,EcoInvent,"electric connector production, peripheral type buss",kg,Input,https://www.mouser.ch/ProductDetail/TE-Connectivity/2311763-2?qs=rrS6PyfT74dmXtBEPHOmlA%3D%3D
