Designators,Casing,Section,Subsection,Category,Manufacturer,Part_Number,Description,number_elements,unit,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,mass_space_relation_m2/kg,Database,Ecoinvent_flow,Ecoinvent_unit,Direction,Comments
"R7, R24",0402,Passives,Resistors,Thick Film,GENERIC,R0402_820R_1%_0.0625W_100PPM,820Ω ±1% 0.0625W 100ppm/°C Thick Film Chip Resistor,2,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 0402 resistor.
"R9_ANA_CAL_0, R9_ANA_CAL_1, R19_ANA_CAL_0, R19_ANA_CAL_1",0402,Passives,Resistors,Thick Film,GENERIC,R0402_470R_1%_0.0625W_100PPM,470Ω ±1% 0.0625W 100ppm/°C Thick Film Chip Resistor,4,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 0402 resistor.
"R10_ANA_CAL_0, R10_ANA_CAL_1, R18_ANA_CAL_0, R18_ANA_CAL_1",0603,Passives,Resistors,Thin Film,GENERIC,R0603_1M_0.1%_0.063W_25PPM,1MΩ ±0.1% 0.063W 25ppm/°C Thin Film Chip Resistor,4,kg,,NO,1.6,0.8,0.8,,6,7,0,,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 0603 resistor.
"R11_ANA_CAL_0, R11_ANA_CAL_1",0603,Passives,Resistors,Thin Film,GENERIC,R0603_20R_0.1%_0.063W_10PPM,20Ω ±0.1% 0.063W 10ppm/°C Thin Film Chip Resistor,2,kg,,NO,1.6,0.8,0.8,,6,7,0,,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 0603 resistor.
"R12_ANA_CAL_0, R12_ANA_CAL_1, R13_ANA_CAL_0, R13_ANA_CAL_1, R16_ANA_CAL_0, R16_ANA_CAL_1, R17_ANA_CAL_0, R17_ANA_CAL_1",0603,Passives,Resistors,Thin Film,GENERIC,R0603_220R_0.1%_0.1W_25PPM,220Ω ±0.1% 0.1W 25ppm/°C Thin Film Chip Resistor,8,kg,,NO,1.6,0.8,0.8,,6,7,0,,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 0603 resistor.
"R15_ANA_CAL_0, R15_ANA_CAL_1, R21_ANA_CAL_0, R21_ANA_CAL_1",0603,Passives,Resistors,Thin Film,GENERIC,R0603_5R1_0.1%_0.063W_25PPM,5.1Ω ±0.1% 0.063W 25ppm/°C Thin Film Chip Resistor,4,kg,,NO,1.6,0.8,0.8,,6,7,0,,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 0603 resistor.
"R25, R34, R129, R149, R155",0805,Passives,Resistors,Thick Film,GENERIC,R0805_0R05_1%_0.25W_300PPM,0.05Ω ±1% 0.25W 300ppm/°C Low Resistance Chip Resistor,5,kg,,NO,2,1.25,0.5,,6,7,0,,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 0805 resistor.
R32,0402,Passives,Resistors,Thick Film,GENERIC,R0402_11K_1%_0.0625W_100PPM,11kΩ ±1% 0.0625W 100ppm/°C Thick Film Chip Resistor,1,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 0402 resistor.
"R36, R51, R137, R140",0402,Passives,Resistors,Thick Film,GENERIC,R0402_30K_1%_0.0625W_100PPM,30kΩ ±1% 0.0625W 100ppm/°C Thick Film Chip Resistor,4,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 0402 resistor.
"R38, R131",0402,Passives,Resistors,Thick Film,GENERIC,R0402_51K_1%_0.0625W_100PPM,51kΩ ±1% 0.0625W 100ppm/°C Thick Film Chip Resistor,2,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 0402 resistor.
