Flow,UUID,flow/process,Unit,Amount,Direction
"printed wiring board production, for through-hole mounting, Pb free surface",dcda613c-0c0d-3cea-a518-a4847d197cdb,unit process,m2,0.01,Input
"electronic component, passive, unspecified",f3d352d4-6c0c-3a0d-819a-cdac67904aae,unit process,kg,0.0690714,Input
"electric connector production, wire clamp",dd86962a-dd7e-316b-9ae3-bb22cf1fcbc2,unit process,kg,0.00456,Input
"electric connector production, peripheral type buss",92091161-fb50-3a3f-8f3d-a35a0a2e0fb0,unit process,kg,0.0526,Input
"resistor, metal film type, through-hole mounting",a0dd6779-6b13-38f5-ab6b-624af954475a,unit process,kg,0.00098775,Input
"mounting, through-hole technology, Pb-free solder",66084f92-4bed-46cb-931e-7ea8300c0972,flow,m2,0.01,Input
"capacitor production, film type, for through-hole mounting",59460f65-cf77-3d26-9e32-c7d03a4cd924,unit process,kg,0.066897225,Input
