Manufacturer,Part_Number,Subsystems,Casing,Description,Section,Subsection,unit,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,mass_space_relation_m2/kg,Database,Ecoinvent_flow,Ecoinvent_unit,Direction
Generic,CTE7343-43_10UF_35V_10%_LESR0200E,inverter_power_card,E,"10 µF, ±10%, 35V, Low ESR, Tantalum chip (7343 E)",Passives,Capacitors,kg,,NO,7.3,4.3,4.1,,5,6,0,,EcoInvent,"capacitor production, electrolyte type, < 2cm height",kg,Input
GENERIC,R0402_0R_JUMPER,"analog_control, digital_control",0402,0Ω Zero Ohm Jumper,Passives,Resistors,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0402_100R_1%_0.0625W_100PPM,digital_control,0402,General Purpose Thick Film Chip Resistor,Passives,Resistors,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0402_10K_0.1%_0.0625W_25PPM,digital_control,0402,Precision Surface Mount Resistor,Passives,Resistors,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0402_10K_1%_0.0625W_100PPM,"analog_control, digital_control",0402,10kΩ ±1% 0.0625W 100ppm/°C Thick Film Chip Resistor,Passives,Resistors,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0402_110K_1%_0.0625W_100PPM,digital_control,0402,General Purpose Thick Film Chip Resistor,Passives,Resistors,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0402_11K_1%_0.0625W_100PPM,analog_control,0402,11kΩ ±1% 0.0625W 100ppm/°C Thick Film Chip Resistor,Passives,Resistors,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0402_120K_1%_0.0625W_100PPM,analog_control,0402,120kΩ ±1% 0.0625W 100ppm/°C Thick Film Chip Resistor,Passives,Resistors,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0402_12K_1%_0.0625W_100PPM,digital_control,0402,General Purpose Thick Film Chip Resistor,Passives,Resistors,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0402_13K3_1%_0.0625W_100PPM,digital_control,0402,General Purpose Thick Film Chip Resistor,Passives,Resistors,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0402_13K_1%_0.0625W_100PPM,digital_control,0402,General Purpose Thick Film Chip Resistor,Passives,Resistors,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0402_15K_1%_0.0625W_100PPM,digital_control,0402,General Purpose Thick Film Chip Resistor,Passives,Resistors,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0402_162K_1%_0.063W_100PPM,digital_control,0402,General Purpose Thick Film Chip Resistor,Passives,Resistors,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0402_180K_1%_0.0625W_100PPM,analog_control,0402,180kΩ ±1% 0.0625W 100ppm/°C Thick Film Chip Resistor,Passives,Resistors,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0402_1K5_1%_0.0625W_100PPM,analog_control,0402,1.5kΩ ±1% 0.0625W 100ppm/°C Thick Film Chip Resistor,Passives,Resistors,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0402_1K_1%_0.0625W_100PPM,digital_control,0402,General Purpose Thick Film Chip Resistor,Passives,Resistors,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0402_1M_1%_0.0625W_100PPM,analog_control,0402,1MΩ ±1% 0.0625W 100ppm/°C Thick Film Chip Resistor,Passives,Resistors,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0402_200K_1%_0.0625W_100PPM,digital_control,0402,General Purpose Thick Film Chip Resistor,Passives,Resistors,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0402_220K_1%_0.0625W_100PPM,digital_control,0402,General Purpose Thick Film Chip Resistor,Passives,Resistors,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0402_220R_1%_0.0625W_100PPM,analog_control,0402,220Ω ±1% 0.0625W 100ppm/°C Thick Film Chip Resistor,Passives,Resistors,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0402_22R_1%_0.0625W_100PPM,digital_control,0402,General Purpose Thick Film Chip Resistor,Passives,Resistors,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0402_240K_1%_0.0625W_100PPM,analog_control,0402,240kΩ ±1% 0.0625W 100ppm/°C Thick Film Chip Resistor,Passives,Resistors,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0402_2K2_1%_0.0625W_100PPM,digital_control,0402,General Purpose Thick Film Chip Resistor,Passives,Resistors,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0402_300K_1%_0.0625W_100PPM,digital_control,0402,General Purpose Thick Film Chip Resistor,Passives,Resistors,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0402_30K_1%_0.0625W_100PPM,"analog_control, digital_control",0402,30kΩ ±1% 0.0625W 100ppm/°C Thick Film Chip Resistor,Passives,Resistors,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0402_31K6_0.1%_0.063W_25PPM,analog_control,0402,31.6kΩ ±0.1% 0.063W 25ppm/°C Thin Film Chip Resistor,Passives,Resistors,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0402_330R_1%_0.0625W_100PPM,digital_control,0402,General Purpose Thick Film Chip Resistor,Passives,Resistors,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0402_33K_1%_0.0625W_100PPM,analog_control,0402,33kΩ ±1% 0.0625W 100ppm/°C Thick Film Chip Resistor,Passives,Resistors,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0402_40K2_1%_0.0625W_100PPM,digital_control,0402,General Purpose Thick Film Chip Resistor,Passives,Resistors,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0402_430R_1%_0.0625W_100PPM,digital_control,0402,General Purpose Thick Film Chip Resistor,Passives,Resistors,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0402_43K_1%_0.0625W_100PPM,digital_control,0402,General Purpose Thick Film Chip Resistor,Passives,Resistors,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0402_470R_1%_0.0625W_100PPM,"analog_control, digital_control",0402,470Ω ±1% 0.0625W 100ppm/°C Thick Film Chip Resistor,Passives,Resistors,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0402_4K7_1%_0.0625W_100PPM,digital_control,0402,General Purpose Thick Film Chip Resistor,Passives,Resistors,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0402_51K_1%_0.0625W_100PPM,analog_control,0402,51kΩ ±1% 0.0625W 100ppm/°C Thick Film Chip Resistor,Passives,Resistors,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0402_51R_1%_0.0625W_100PPM,analog_control,0402,51Ω ±1% 0.0625W 100ppm/°C Thick Film Chip Resistor,Passives,Resistors,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0402_56R_1%_0.0625W_100PPM,digital_control,0402,"General Purpose Thick Film Chip Resistor, 56Ω, 1%, 0.0625W",Passives,Resistors,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0402_5K1_0.1%_0.0625W_25PPM,digital_control,0402,Thin Film Chip Resistor,Passives,Resistors,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0402_60K4_1%_0.063W_100PPM,analog_control,0402,60.4kΩ ±1% 0.063W 100ppm/°C Thick Film Chip Resistor,Passives,Resistors,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0402_620K_1%_0.0625W_100PPM,digital_control,0402,General Purpose Thick Film Chip Resistor,Passives,Resistors,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0402_820R_1%_0.0625W_100PPM,analog_control,0402,820Ω ±1% 0.0625W 100ppm/°C Thick Film Chip Resistor,Passives,Resistors,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0402_82K_1%_0.0625W_100PPM,digital_control,0402,General Purpose Thick Film Chip Resistor,Passives,Resistors,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0402_8R2_1%_0.0625W_200PPM,"analog_control, digital_control",0402,8.2Ω ±1% 0.0625W 200ppm/°C Thick Film Chip Resistor,Passives,Resistors,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0402_9K1_1%_0.0625W_100PPM,digital_control,0402,General Purpose Thick Film Chip Resistor,Passives,Resistors,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0402_NO-VALUE,digital_control,0402,Reserved Footprint For a 0402 (1005) Chip Resistor,Passives,Resistors,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0603_10R_0.1%_0.063W_10PPM,analog_control,0603,10Ω ±0.1% 0.063W 10ppm/°C Thin Film Chip Resistor,Passives,Resistors,kg,,NO,1.6,0.8,0.8,,6,7,0,,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0603_1K_0.1%_0.1W_25PPM,analog_control,0603,1kΩ ±0.1% 0.1W 25ppm/°C Thin Film Chip Resistor,Passives,Resistors,kg,,NO,1.6,0.8,0.8,,6,7,0,,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0603_1M_0.1%_0.063W_25PPM,analog_control,0603,1MΩ ±0.1% 0.063W 25ppm/°C Thin Film Chip Resistor,Passives,Resistors,kg,,NO,1.6,0.8,0.8,,6,7,0,,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0603_20R_0.1%_0.063W_10PPM,analog_control,0603,20Ω ±0.1% 0.063W 10ppm/°C Thin Film Chip Resistor,Passives,Resistors,kg,,NO,1.6,0.8,0.8,,6,7,0,,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0603_220R_0.1%_0.1W_25PPM,analog_control,0603,220Ω ±0.1% 0.1W 25ppm/°C Thin Film Chip Resistor,Passives,Resistors,kg,,NO,1.6,0.8,0.8,,6,7,0,,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0603_5R1_0.1%_0.063W_25PPM,analog_control,0603,5.1Ω ±0.1% 0.063W 25ppm/°C Thin Film Chip Resistor,Passives,Resistors,kg,,NO,1.6,0.8,0.8,,6,7,0,,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0805_0R05_1%_0.25W_300PPM,"analog_control, digital_control",0805,0.05Ω ±1% 0.25W 300ppm/°C Low Resistance Chip Resistor,Passives,Resistors,kg,,NO,2,1.25,0.5,,6,7,0,,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0805_0R05_1%_0.25W_300PPM,"analog_control, digital_control",0805,Low Resistance Thick Film Chip Resistor,Passives,Resistors,kg,,NO,2,1.25,0.5,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0805_10K_0.1%_0.125W_25PPM,digital_control,0805,Thin Film Chip Resistor,Passives,Resistors,kg,,NO,2.0,1.25,0.5,,3,4,0.001,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0805_10M_1%_0.125W_100PPM,analog_control,0805,10MΩ ±1% 0.125W 100ppm/°C Thick Film Chip Resistor,Passives,Resistors,kg,,NO,2.0,1.25,0.5,,3,4,0.000001,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0805_1K_1%_0.125W_100PPM,digital_control,0805,General Purpose Thick Film Chip Resistor,Passives,Resistors,kg,,NO,2,1.25,0.5,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0805_1M_1%_0.125W_100PPM,digital_control,0805,General Purpose Thick Film Chip Resistor,Passives,Resistors,kg,,NO,2,1.25,0.5,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R0805_1R1_1%_0.125W_200PPM,digital_control,0805,General Purpose Thick Film Chip Resistor,Passives,Resistors,kg,,NO,2.0,1.25,0.5,,3,4,0.001,0,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R1206_0R01_1%_1W_100PPM,analog_control,1206,0.01Ω ±1% 1W 100ppm/°C Current Sense Chip Resistor,Passives,Resistors,kg,,NO,3.2,1.6,0.55,,3,4,0.003,0,EcoInvent,"resistor production, surface-mounted",kg,Input
Generic,R1206_0R_JUMPER,4Q_output_control_card,1206,2A (0.05R Max DC Resistance) Zero Ohm Jumper,Passives,Resistors,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input
Generic,R1206_100K_1%_0.25W_100PPM,"4Q_output_control_card, 4Q_power_card, contactor_card",1206,±1% 0.25W ±100ppm/°C General Purpose Thick Film Chip Resistor,Passives,Resistors,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input
Generic,R1206_100R_1%_0.25W_100PPM,"4Q_output_control_card, 4Q_power_card, contactor_card, inverter_power_card",1206,±1% 0.25W ±100ppm/°C General Purpose Thick Film Chip Resistor,Passives,Resistors,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input
Generic,R1206_10K_1%_0.25W_100PPM,"4Q_output_control_card, 4Q_power_card, contactor_card, fan_supervision_card, inverter_power_card",1206,±1% 0.25W ±100ppm/°C General Purpose Thick Film Chip Resistor,Passives,Resistors,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input
Generic,R1206_10R_1%_0.25W_200PPM,"4Q_output_control_card, 4Q_power_card, fan_supervision_card, inverter_power_card",1206,±1% 0.25W ±200ppm/°C General Purpose Thick Film Chip Resistor,Passives,Resistors,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input
Generic,R1206_1K_1%_0.25W_100PPM,"4Q_output_control_card, 4Q_power_card, contactor_card, inverter_power_card",1206,±1% 0.25W ±100ppm/°C General Purpose Thick Film Chip Resistor,Passives,Resistors,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R1206_1R_1%_0.25W_200PPM,4Q_power_card,1206,±1% 0.25W ±200ppm/°C General Purpose Thick Film Chip Resistor,Passives,Resistors,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R1206_20K_1%_0.25W_100PPM,4Q_power_card,1206,±1% 0.25W ±100ppm/°C General Purpose Thick Film Chip Resistor,Passives,Resistors,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input
Generic,R1206_20R_1%_0.25W_100PPM,inverter_power_card,1206,"20 Ω, 1%, 0.25W, 100 ppm/°C, 1206",Passives,Resistors,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R1206_270K_0.1%_0.25W_25PPM,contactor_card,1206,±0.1% 0.25W ±25ppm/°C Thin Film Chip Resistor,Passives,Resistors,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input
Generic,R1206_2K_1%_0.25W_100PPM,"contactor_card, inverter_power_card",1206,"2 kΩ, 1%, 0.25W, 100 ppm/°C, 1206",Passives,Resistors,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R1206_30K_0.1%_0.25W_25PPM,contactor_card,1206,±0.1% 0.25W ±25ppm/°C Thin Film Chip Resisto,Passives,Resistors,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R1206_33K_1%_0.25W_100PPM,contactor_card,1206,±1% 0.25W ±100ppm/°C General Purpose Thick Film Chip Resistor,Passives,Resistors,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R1206_47K_1%_0.25W_100PPM,"4Q_power_card, inverter_power_card",1206,±1% 0.25W ±100ppm/°C General Purpose Thick Film Chip Resistor,Passives,Resistors,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R1206_4K3_1%_0.25W_100PPM,contactor_card,1206,±1% 0.25W ±100ppm/°C General Purpose Thick Film Chip Resistor,Passives,Resistors,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,RMELF_2K2_1%_0.2W_50PPM,digital_control,MELF,"Thin Film Mini-MELF Resistors, 2.2kΩ, 1%, 0.2W",Passives,Resistors,kg,,NO,,,,0.00554,3,4,,0,EcoInvent,"resistor production, surface-mounted",kg,Input
Generic,RMF_10K_1%_0.6W_50PPM_1016-630X250,4Q_output_power_card,,±1% 0.6W ±50ppm/°C Leaded Metal Film Resistor,Passives,Resistors,kg,,NO,,,,0.03093,3,4,0.003,,EcoInvent,"resistor, metal film type, through-hole mounting",kg,Input
Generic,RMF_47K_5%_3W_250PPM_2286-1670X520,filter_card,,±5% 3W ±250ppm/°C Leaded Power Metal Film Resistor,Passives,Resistors,kg,,NO,,,,0.35466,3,4,0.003,,EcoInvent,"resistor, metal film type, through-hole mounting",kg,Input
Generic,RMF_68K_1%_0.6W_50PPM_1016-630X250,fuse_card,,±1% 0.6W ±50ppm/°C Leaded Metal Film Resistor,Passives,Resistors,kg,,NO,,,,0.0285,3,4,0.01,,EcoInvent,"resistor, metal film type, through-hole mounting",kg,Input
HARWIN,S2761-46R,analog_control,,"Through-Hole Test Point, PC Test Pin",Passives,Test PIN,kg,0.000006,YES,,,,,,0,0,0,EcoInvent,"electronic component, passive, unspecified",kg,Input
Infineon,2ED3141MC12L,inverter_power_card,,Dual-Channel Isolated Gate Driver IC with Dead-Time Control,IC,Analog,kg,,NO,10.3,7.5,2.35,,1.2,1.3,0.15,,EcoInvent,"integrated circuit production, logic type",kg,Input
Infineon,BSS119N,"4Q_output_control_card, 4Q_power_card, inverter_power_card",SOT23-3,"100V, 190mA, N-Channel SIPMOS® Small-Signal-Transistor",Discrete Semiconductors,Small signal,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,"transistor production, surface-mounted",kg,Input
Infineon,IKW25N120H3,inverter_power_card,TO-247,1200V 50A N-Channel Insulated Gate Bipolar Transistor IGBT,Discrete Semiconductors,Power,kg,0.00542,YES,,,,,,,,,EcoInvent,"insulated gate bipolar transistor production, for electric vehicle applications",kg,Input
INFINEON,IRFP4768,"4Q_output_power_card, 4Q_power_card",TO-247-2,250V 93A N-Channel HEXFET® Power MOSFET,Discrete Semiconductors,Power,kg,0.00542,YES,,,,,,,,,EcoInvent,"transistor production, wired, big size, through-hole mounting",kg,Input
KEMET,P272HE102M300A or PME271YA4100MR30,4Q_output_power_card,,"±20% 300VAC Metallized Impregnated Paper Film Capacitor, Class Y2",Passives,Capacitors,kg,,NO,13.5,3.9,7.5,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input
KEMET,P272QE103M300A or PME271YB5100MR30,4Q_output_power_card,,"±20% 300VAC Metallized Impregnated Paper Film Capacitor, Class Y2",Passives,Capacitors,kg,,NO,18.5,5.2,10.5,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input
KEMET,P272SJ473M300A or PME271YD5470MR30,4Q_output_power_card,,"±20% 300VAC Metallized Impregnated Paper Film Capacitor, Class Y2",Passives,Capacitors,kg,,NO,27,8,17,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input
KEYSTONE,3576,fuse_card,,Fuse Holder for 10.3x38mm (5AG) Fuses,Electromechanical,Fuse holder,kg,,NO,,,,9.88,1.12,1.15,0.22,,EcoInvent,"electronic component, passive, unspecified",kg,Input
KEYSTONE,3576C,fuse_card,,Cover for Fuse Holder KEYSTONE 3576,Hardware,Enclosure,kg,0.00359,YES,,,,,,,,,EcoInvent,"electronic component, passive, unspecified",kg,Input
KYCON,KUSBX-SL-CS1N14-B,digital_control,,"USB 2.0 Type C Receptacle, High Temp., Flag Style Through Hole 14 Pin, Black",Electromechanical,Connectors,kg,0.002841,YES,,,,,,,,,EcoInvent,"electric connector production, peripheral type buss",kg,Input
LEM,LESR 25-NP,4Q_power_card,,Current Transducer 25A,Modules,Sensors,kg,0.01,YES,,,,,,,,,EcoInvent,"electronic component production, active, unspecified",kg,Input
LINEAR TECHNOLOGY,LT8610EMSE,analog_control,MSOP-16,"42V, 2.5A Synchronous Step-Down Regulator",IC,Analog,kg,0.000343,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input
LINEAR TECHNOLOGY,LTC2378CMS-20,analog_control,MSOP-16,"20-Bit, 1Msps, Low Power SAR ADC",IC,Mixed-Signal,kg,0.000343,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input
LITEON,LTST-C193KGKT-5A,digital_control,0603,"Extra Thin SMD Chip LED, Ultra Bright AlInGaP Green, Lens Water Clear",Discrete Semiconductors,Optoelectronics,kg,,NO,1.6,0.8,0.8,,4.5,5.5,,,EcoInvent,light emitting diode production,kg,Input
LITTELFUSE,0603L010,analog_control,0603,PTC Resettable Fuse 100mA 15V 0603,Passives,Protection,kg,,NO,1.6,0.8,0.8,,1.5,2.5,0,0,EcoInvent,"electronic component, passive, unspecified",kg,Input
Littelfuse,microSMD005F,"4Q_output_control_card, contactor_card, inverter_power_card",,PolySwitch® Resettable PPTC Overcurrent Protection Device,Passives,Protection,kg,,NO,3.21,2.57,0.72,,1.2,1.5,0.002,,EcoInvent,"electronic component, passive, unspecified",kg,Input
LITTELFUSE,SMBJ48CA,contactor_card,DO-214AA,48V 600W Bi-Directional Transient Voltage Suppressor Diode,Discrete Semiconductors,Small signal,kg,,NO,4.57,3.94,2.4,,1.2,1.25,0.05,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input
MAXIM INTEGRATED,MAX5719AGSD+,analog_control,SOIC-14,"20-Bit, Serial-Input, Voltage Output DAC",IC,Mixed-Signal,kg,0.000174,YES,8.65,3.9,1.75,,1.2,1.3,0.0001,0,EcoInvent,"integrated circuit production, logic type",kg,Input
MERSEN,W1014572,fuse_card,,"Protistor® Cylindrical Fuse-Links, Size 10x38 gR 690VAC",Passives,Protection,kg,0.008,YES,,,,,,,,,EcoInvent,"electronic component, passive, unspecified",kg,Input
MERSEN/FERRAZ SHAWMUT,G076458,4Q_output_control_card,,"6.3x46mm Cylindrical Very Fast Acting Ceramic Sand Filled Fuse, FA HRC Series",Passives,Protection,kg,0.0025,YES,,,,,,,,,EcoInvent,"electronic component, passive, unspecified",kg,Input
MERSEN/FERRAZ SHAWMUT,L080464,4Q_output_control_card,,"Cylindrical 6.3x32mm, Very HRC, FA Very Fast Acting Fuse','1','kg','0.0025','YES',,,,,,,,,'EcoInvent','electronic component, passive, unspecified','kg','Input','Mass from datasheet, aproximated as passive'
FH2""",Passives,Protection,Electromechanical,Fuse holder,,BUSSMANN,1A1907-06-R,"'Fuse Clip for 1/4"""" (6.35)mm Diameter Fuses'",'1','kg','0.00074','YES',,,,,
MICROCHIP,24AA025E48-I/SN,digital_control,SOIC8,"1.7V-5.5V, 2K I2C™ Serial EEPROMs with EUI-48™ Node Identity",IC,Memory,kg,,NO,4.9,3.9,1.75,,1.2,1.2,,,EcoInvent,"integrated circuit production, logic type",kg,Input
MICROCHIP,24AA025E48T-I/OT,analog_control,SOT23-6,"1.7V-5.5V, 2K I2C Serial EEPROM",IC,Memory,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,"integrated circuit production, logic type",kg,Input
MICROCHIP,93LC56B-I/OT,digital_control,,"2K, 128X16-bit, 2.5V Microwire Compatible Serial EEPROM",IC,Memory,kg,0.0000065,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input
MICROCHIP,MIC5219-3.3YM5,digital_control,,3.3V 500mA Peak Output Low Drop-Out (LDO) Regulator,IC,Analog,kg,0.000063,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input
MOLEX,2203630800,"analog_control, digital_control",,"Easy-On FFC/FPC Connector, 0.40mm Pitch, FD4P Series, Right-Angle, Bottom Contact, 2.00mm Height, 80 Circuits, Gold over Nickel Plating",Electromechanical,Connectors,kg,0.0005,YES,,,,,,,,,EcoInvent,"electric connector production, peripheral type buss",kg,Input
MOLEX,2203631200,"analog_control, digital_control",,"Easy-On FFC/FPC Connector, 0.40mm Pitch, FD4P Series, Right-Angle, Bottom Contact, 2.00mm Height, 120 Circuits, Gold over Nickel Plating",Electromechanical,Connectors,kg,0.0015,YES,,,,,,,,,EcoInvent,"electric connector production, peripheral type buss",kg,Input
