Order_index,Category_order,Group_order,Category,Section,Subsection,Designators,Casing,Part_Number,Database,Ecoinvent_flow,Ecoinvent_unit,Direction,Amount,Mass_per_element_g,Total_mass_g,Total_mass_kg,Formula_basis,Validation_error
68,30,31,Modular Jack,Electromechanical,Connectors,J7,,ARJM11D7-502-AB-EW2,EcoInvent,"electric connector production, peripheral type buss",kg,Input,0.010248,10.248,10.248,0.010248,mass-based,
69,31,32,USB,Electromechanical,Connectors,J8,,KUSBX-SL-CS1N14-B,EcoInvent,"electric connector production, peripheral type buss",kg,Input,0.002841,2.841,2.841,0.002841,mass-based,
70,32,33,PicoBlade,Electromechanical,Connectors,J9,,530480310,EcoInvent,"electric connector production, wire clamp",kg,Input,0.0009276,0.9276,0.9276,0.0009276,mass-based,
71,32,33,PicoBlade,Electromechanical,Connectors,J10,,53261-1071,EcoInvent,"electric connector production, wire clamp",kg,Input,0.000279,0.279,0.279,0.000279,mass-based,
72,33,34,FFC/FPC,Electromechanical,Connectors,J11,,2203631200,EcoInvent,"electric connector production, peripheral type buss",kg,Input,0.0015,1.5,1.5,0.0015,mass-based,
73,33,34,FFC/FPC,Electromechanical,Connectors,J12,,2203630800,EcoInvent,"electric connector production, peripheral type buss",kg,Input,0.0005,0.5,0.5,0.0005,mass-based,
74,34,35,Ferrite Bead,Passives,Inductors,"L1, L2, L3",0603,BLM18SG121TN1D,EcoInvent,"inductor production, low value multilayer chip",kg,Input,1.536e-05,0.00512,0.01536,1.536e-05,mass-based,
75,34,35,Ferrite Bead,Passives,Inductors,"L4, L5, L6, L7, L13, L14, L15, L16, L17",0603,BLM18SG221TN1,EcoInvent,"inductor production, low value multilayer chip",kg,Input,4.608e-05,0.00512,0.04608,4.608e-05,mass-based,
78,34,35,Ferrite Bead,Passives,Inductors,"L10, L12, L18, L19",0805,742792040,EcoInvent,"inductor production, low value multilayer chip",kg,Input,4e-05,0.01,0.04,4e-05,mass-based,
79,34,35,Ferrite Bead,Passives,Inductors,"L11, L20, L21",0805,742792031,EcoInvent,"inductor production, low value multilayer chip",kg,Input,3e-05,0.01,0.03,3e-05,mass-based,
80,35,37,LED,Discrete Semiconductors,Optoelectronics,"LD1, LD2, LD3, LD4",,HSMF-A203-A00J1,EcoInvent,light emitting diode production,kg,Input,0.00024,0.06,0.24,0.00024,mass-based,
81,35,37,LED,Discrete Semiconductors,Optoelectronics,"LD5, LD6, LD7, LD8, LD9, LD10, LD11, LD12",0603,LTST-C193KGKT-5A,EcoInvent,light emitting diode production,kg,Input,4.096e-05,0.00512,0.04096,4.096e-05,mass-based,
84,36,40,Quartz,Passives,Crystals,Q1,,7M-12.000MAAJ-T,EcoInvent,"electronic component, passive, unspecified",kg,Input,1.6e-05,0.016,0.016,1.6e-05,mass-based,
85,37,41,Thick Film,Passives,Resistors,"R1, R2, R40, R41, R42, R43, R44, R45, R119, R120, R121, R122, R123, R124, R125, R126, R216, R217, R218, R219, R220, R221, R222, R223",0402,R0402_56R_1%_0.0625W_100PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,1.95e-05,0.000812,0.0195,1.95e-05,mass-based,
86,37,41,Thick Film,Passives,Resistors,"R3, R4, R5, R6, R7, R8, R11, R12, R13, R14, R35_CONTACT_OUT_0, R35_CONTACT_OUT_1, R35_CONTACT_OUT_2, R35_CONTACT_OUT_3, R35_CONTACT_OUT_4, R35_CONTACT_OUT_5, R48, R49, R51, R68, R71_DIG_IND_IN_1, R71_DIG_IND_IN_2, R71_DIG_IND_IN_3, R71_DIG_IND_IN_4, R71_DIG_IND_IN_5, R71_DIG_IND_IN_6, R71_DIG_IND_IN_7, R71_DIG_IND_IN_8, R71_DIG_IND_IN_9, R71_DIG_IND_IN_10, R71_DIG_IND_IN_11, R71_DIG_IND_IN_12, R71_DIG_IND_IN_13, R71_DIG_IND_IN_14, R73_DIG_IND_IN_1, R73_DIG_IND_IN_2, R73_DIG_IND_IN_3, R73_DIG_IND_IN_4, R73_DIG_IND_IN_5, R73_DIG_IND_IN_6, R73_DIG_IND_IN_7, R73_DIG_IND_IN_8, R73_DIG_IND_IN_9, R73_DIG_IND_IN_10, R73_DIG_IND_IN_11, R73_DIG_IND_IN_12, R73_DIG_IND_IN_13, R73_DIG_IND_IN_14, R74_DIG_IND_IN_1, R74_DIG_IND_IN_2, R74_DIG_IND_IN_3, R74_DIG_IND_IN_4, R74_DIG_IND_IN_5, R74_DIG_IND_IN_6, R74_DIG_IND_IN_7, R74_DIG_IND_IN_8, R74_DIG_IND_IN_9, R74_DIG_IND_IN_10, R74_DIG_IND_IN_11, R74_DIG_IND_IN_12, R74_DIG_IND_IN_13, R74_DIG_IND_IN_14, R152, R153, R154, R157, R158, R159, R160, R181, R184, R185, R187, R193, R194, R224_P24V_FUSE1, R224_P24V_FUSE2, R224_P24V_FUSE3, R224_P24V_FUSE4, R224_P24V_FUSE5, R224_P24V_FUSE6, R224_P24V_FUSE7, R224_P24V_FUSE8, R225",0402,R0402_1K_1%_0.0625W_100PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,6.825e-05,0.000812,0.06825,6.825e-05,mass-based,
87,37,41,Thick Film,Passives,Resistors,R9,0402,R0402_12K_1%_0.0625W_100PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,8.125e-07,0.000812,0.000812,8.125e-07,mass-based,
88,37,41,Thick Film,Passives,Resistors,"R10, R15",0402,R0402_2K2_1%_0.0625W_100PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,1.625e-06,0.000812,0.001625,1.625e-06,mass-based,
89,37,41,Thick Film,Passives,Resistors,"R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R133, R134, R135, R136, R137, R138, R139, R140, R141, R142, R143, R144, R145, R146, R147, R148, R149, R172, R177",0402,R0402_4K7_1%_0.0625W_100PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,2.84375e-05,0.000812,0.028437,2.84375e-05,mass-based,
90,37,41,Thick Film,Passives,Resistors,"R32_DIG_FAST_IN_CCT_0, R32_DIG_FAST_IN_CCT_1, R32_DIG_FAST_IN_CCT_2, R32_DIG_FAST_IN_CCT_3, R32_DIG_FAST_IN_CCT_4, R32_DIG_FAST_IN_CCT_5, R32_DIG_FAST_IN_CCT_6, R32_DIG_FAST_IN_CCT_7, R32_DIG_FAST_IN_CCT_8, R32_DIG_FAST_IN_CCT_9, R32_DIG_FAST_IN_CCT_10, R32_DIG_FAST_IN_CCT_11, R32_DIG_FAST_IN_CCT_12, R32_DIG_FAST_IN_CCT_13",0402,R0402_100R_1%_0.0625W_100PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,1.1375e-05,0.000812,0.011375,1.1375e-05,mass-based,
91,37,41,Thick Film,Passives,Resistors,"R33_CONTACT_OUT_0, R33_CONTACT_OUT_1, R33_CONTACT_OUT_2, R33_CONTACT_OUT_3, R33_CONTACT_OUT_4, R33_CONTACT_OUT_5",0402,R0402_430R_1%_0.0625W_100PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,4.875e-06,0.000812,0.004875,4.875e-06,mass-based,
92,37,41,Thick Film,Passives,Resistors,"R34_CONTACT_OUT_0, R34_CONTACT_OUT_1, R34_CONTACT_OUT_2, R34_CONTACT_OUT_3, R34_CONTACT_OUT_4, R34_CONTACT_OUT_5",0805,R0805_1R1_1%_0.125W_200PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,3.225e-05,0.005375,0.03225,3.225e-05,mass-based,
93,37,41,Thick Film,Passives,Resistors,"R36, R37, R200, R201, R202, R203, R204, R205, R206, R207, R208, R209, R210, R211, R212, R213, R214, R215",0402,R0402_1K_1%_0.0625W_100PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,1.4625e-05,0.000812,0.014625,1.4625e-05,mass-based,
94,37,41,Thick Film,Passives,Resistors,"R38_DIG_FAST_IN_CCT_0, R38_DIG_FAST_IN_CCT_1, R38_DIG_FAST_IN_CCT_2, R38_DIG_FAST_IN_CCT_3, R38_DIG_FAST_IN_CCT_4, R38_DIG_FAST_IN_CCT_5, R38_DIG_FAST_IN_CCT_6, R38_DIG_FAST_IN_CCT_7, R38_DIG_FAST_IN_CCT_8, R38_DIG_FAST_IN_CCT_9, R38_DIG_FAST_IN_CCT_10, R38_DIG_FAST_IN_CCT_11, R38_DIG_FAST_IN_CCT_12, R38_DIG_FAST_IN_CCT_13",0402,R0402_470R_1%_0.0625W_100PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,1.1375e-05,0.000812,0.011375,1.1375e-05,mass-based,
96,37,41,Thick Film,Passives,Resistors,"R46, R47, R190_P24V_FUSE1, R190_P24V_FUSE2, R190_P24V_FUSE3, R190_P24V_FUSE4, R190_P24V_FUSE5, R190_P24V_FUSE6, R190_P24V_FUSE7, R190_P24V_FUSE8",0402,R0402_82K_1%_0.0625W_100PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,8.125e-06,0.000812,0.008125,8.125e-06,mass-based,
97,37,41,Thick Film,Passives,Resistors,R50,0402,R0402_NO-VALUE,EcoInvent,"resistor production, surface-mounted",kg,Input,8.125e-07,0.000812,0.000812,8.125e-07,mass-based,
98,37,41,Thick Film,Passives,Resistors,R52,0402,R0402_NO-VALUE,EcoInvent,"resistor production, surface-mounted",kg,Input,8.125e-07,0.000812,0.000812,8.125e-07,mass-based,
99,37,41,Thick Film,Passives,Resistors,R53,0402,R0402_NO-VALUE,EcoInvent,"resistor production, surface-mounted",kg,Input,8.125e-07,0.000812,0.000812,8.125e-07,mass-based,
100,37,41,Thick Film,Passives,Resistors,R54,0402,R0402_220K_1%_0.0625W_100PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,8.125e-07,0.000812,0.000812,8.125e-07,mass-based,
101,37,41,Thick Film,Passives,Resistors,R55,0402,R0402_NO-VALUE,EcoInvent,"resistor production, surface-mounted",kg,Input,8.125e-07,0.000812,0.000812,8.125e-07,mass-based,
102,37,41,Thick Film,Passives,Resistors,R56,0402,R0402_NO-VALUE,EcoInvent,"resistor production, surface-mounted",kg,Input,8.125e-07,0.000812,0.000812,8.125e-07,mass-based,
