Flow,UUID,Unit,Amount,Direction
"electric connector production, wire clamp",6716b460-7ba0-4cea-baa4-32ae24bfb88c,kg,0.10572831648,Input
"market for steel, low-alloyed",817c3650-4fed-4ef2-b9b6-404a198834e6,kg,0.00884695,Input
"metal working, average for metal product manufacturing",79632c4b-f876-4c89-bf27-b864b30566be,kg,0.00884695,Input
