Casing,Section,Subsection,unit,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,mass_space_relation_m2/kg,Ecoinvent_flow,Ecoinvent_unit,Direction,Database
0402,Passives,Capacitors,kg,,NO,1.0,0.5,0.5,,6,7,0,,"capacitor production, for surface-mounting",kg,Input,EcoInvent
0402,Passives,Resistors,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,"resistor production, surface-mounted",kg,Input,EcoInvent
0603,Passives,Capacitors,kg,,NO,1.6,0.8,0.8,,6,7,0,,"capacitor production, for surface-mounting",kg,Input,EcoInvent
0603,Passives,Inductors,kg,,NO,1.6,0.8,0.8,,4.5,5.5,,,"inductor production, low value multilayer chip",kg,Input,EcoInvent
0805,Passives,Capacitors,kg,,NO,2.0,1.25,0.8,,6,7,0,,"capacitor production, for surface-mounting",kg,Input,EcoInvent
0805,Passives,Inductors,kg,,NO,2.0,1.25,0.8,,4.5,5.5,,0,"inductor production, low value multilayer chip",kg,Input,EcoInvent
0805,Passives,Resistors,kg,,NO,2.0,1.25,0.5,,3,4,0.001,0,"resistor production, surface-mounted",kg,Input,EcoInvent
0805,Passives,Resistors,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,"resistor production, surface-mounted",kg,Input,EcoInvent
1206,Passives,Capacitors,kg,,NO,3.2,1.6,1.7,,6,7,0,,"capacitor production, for surface-mounting",kg,Input,EcoInvent
1206,Passives,Resistors,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,"resistor production, surface-mounted",kg,Input,EcoInvent
1206,Passives,Resistors,kg,,NO,3.2,1.6,0.55,,3,4,0.003,0,"resistor production, surface-mounted",kg,Input,EcoInvent
1206,Passives,Protection,kg,0.000474,YES,,,,,,,,,"electronic component, passive, unspecified",kg,Input,EcoInvent
1210,Passives,Capacitors,kg,,NO,3.18,2.41,1.4,,6,7,0,,"capacitor production, for surface-mounting",kg,Input,EcoInvent
1808,Passives,Capacitors,kg,,NO,4.5,2.0,1.6,,6,7,0,,"capacitor production, for surface-mounting",kg,Input,EcoInvent
C,Passives,Capacitors,kg,0.0003,YES,,,,,,,,,"capacitor production, electrolyte type, < 2cm height",kg,Input,EcoInvent
D2PAK,IC,Analog,kg,,NO,10.29,9.65,4.83,,1.2,1.3,0.9674,,"integrated circuit production, logic type",kg,Input,EcoInvent
DIP,Electromechanical,Switches,kg,,NO,6.2,4.5,1.45,0.072,1.2,1.3,0.05,0,"electronic component, passive, unspecified",kg,Input,EcoInvent
DIP6 SMD,Modules,Hybrid relays,kg,0.000427,YES,,,,,,,,,"electronic component production, active, unspecified",kg,Input,EcoInvent
DO-214AA,Discrete Semiconductors,Small signal,kg,,NO,4.57,3.94,2.4,,1.2,1.25,0.05,,"diode production, glass-, for surface-mounting",kg,Input,EcoInvent
DO-214AC,Discrete Semiconductors,Small signal,kg,0.00012,YES,,,,,,,,,"diode production, glass-, for surface-mounting",kg,Input,EcoInvent
DO-35,Discrete Semiconductors,Small signal,kg,0.000125,YES,,,,,,,,,"diode production, glass-, for through-hole mounting",kg,Input,EcoInvent
DO214AC,Discrete Semiconductors,Small Signal,kg,0.000061,YES,,,,,,,,,"diode production, glass-, for surface-mounting",kg,Input,EcoInvent
DPAK,Discrete Semiconductors,Power,kg,,NO,6.6,6.2,2.3,,1.2,1.3,0.215,,"transistor production, surface-mounted",kg,Input,EcoInvent
E,Passives,Capacitors,kg,,NO,7.3,4.3,4.1,,5,6,0,,"capacitor production, electrolyte type, < 2cm height",kg,Input,EcoInvent
LFCSP20,Integrated Circuits (ICs),Analog,kg,0.0000584,YES,,,,,,,,,"integrated circuit production, logic type",kg,Input,EcoInvent
LGA25,Integrated Circuits (ICs),Analog,kg,0.0005,YES,,,,,,,,,"electronic component production, active, unspecified",kg,Input,EcoInvent
MELF,Passives,Resistors,kg,,NO,,,,0.00554,3,4,,0,"resistor production, surface-mounted",kg,Input,EcoInvent
SOD-80C,Discrete Semiconductors,Small signal,kg,,NO,,,,0.00744,2.2,2.3,0.002,,"diode production, glass-, for surface-mounting",kg,Input,EcoInvent
