Flow,UUID,flow/process,Unit,Amount,Direction
"market for aluminium alloy, AlMg3",d2348b26-49e6-361f-b975-ed980aafda97,unit process,kg,10.35367127,pre-input
"metal working, average for aluminium product manufacturing",9e6c96d1-8f01-3261-9993-9afa310d6c63,unit process,kg,10.35367127,pre-process
"market for copper, cathode",40dc9f2f-40c2-37b4-8f38-53d043a5f756,unit process,kg,0.004,pre-input
"metal working, average for copper product manufacturing",d81d83ea-b26b-383a-ab8d-29cca83903fb,unit process,kg,0.004,pre-process
