Process,Contribution,Unit
"blasting | blasting | Cutoff, U",0.09315335069655509,mol N-Eq
"blasting | blasting | Cutoff, U",0.046520167777171315,mol N-Eq
"diesel, burned in building machine | diesel, burned in building machine | Cutoff, U",0.026068723217442788,mol N-Eq
"diesel, burned in diesel-electric generating set, 10MW | diesel, burned in diesel-electric generating set, 10MW | Cutoff, U",0.02133103389127409,mol N-Eq
"electricity production, hard coal, conventional | electricity, high voltage | Cutoff, U",0.017887785372497775,mol N-Eq
"electricity production, hard coal | electricity, high voltage | Cutoff, U",0.014036910206237126,mol N-Eq
