Process,Contribution,Unit
"treatment of non-sulfidic tailing, off-site | non-sulfidic tailing, off-site | Cutoff, U",14.596120290673282,dimensionless
"treatment of non-sulfidic overburden, off-site | non-sulfidic overburden, off-site | Cutoff, U",1.0946149756436048,dimensionless
"road construction | road | Cutoff, U",0.9137484148092466,dimensionless
"treatment of sulfidic tailings, from copper mine operation, tailings impoundment | sulfidic tailings, from copper mine operation | Cutoff, U",0.7711301085636905,dimensionless
"softwood forestry, spruce, sustainable forest management | sawlog and veneer log, softwood, with bark, green, measured as green volume under bark | Cutoff, U",0.6095959409680645,dimensionless
"treatment of sulfidic tailings, from copper mine operation, tailings impoundment | sulfidic tailings, from copper mine operation | Cutoff, U",0.5556370688608171,dimensionless
