Process,Contribution,Unit
"coke production | coke | Cutoff, U",3.9903621271993315e-09,CTUh
"coke production, wet quenching | coke | Cutoff, U",3.729705176417674e-09,CTUh
"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, U",1.8447228782800088e-09,CTUh
"chlor-alkali electrolysis, average production | sodium hypochlorite, without water, in 15% solution state | Cutoff, U",1.5161126226228734e-09,CTUh
"coke production | coke | Cutoff, U",1.243282954440068e-09,CTUh
"coke production, dry quenching | coke | Cutoff, U",9.844517252980894e-10,CTUh
