Process,Contribution,Unit
"coke production | coke | Cutoff, U",2.0158869416742328e-09,CTUh
"coke production, wet quenching | coke | Cutoff, U",1.8712799224288594e-09,CTUh
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014, renewable energy products | electricity, high voltage, renewable energy products | Cutoff, U",1.350227597455428e-09,CTUh
"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, U",8.902076312067336e-10,CTUh
"coke production | coke | Cutoff, U",6.280928378851102e-10,CTUh
"coke production, dry quenching | coke | Cutoff, U",4.939223506990858e-10,CTUh
