Process,Contribution,Unit
"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, U",2.7437302588580474e-08,CTUh
"mounting, surface mount technology, Pb-free solder | mounting, surface mount technology, Pb-free solder | Cutoff, U",1.4815179412289449e-08,CTUh
"chlor-alkali electrolysis, membrane cell | sodium hydroxide, without water, in 50% solution state | Cutoff, U",1.2382186575489798e-08,CTUh
"chlor-alkali electrolysis, membrane cell | potassium hydroxide | Cutoff, U",8.47029068375474e-09,CTUh
"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, U",6.039583265432634e-09,CTUh
"chlorobenzenes production, benzene chlorination | p-dichlorobenzene | Cutoff, U",5.503959889536217e-09,CTUh
