Process,Contribution,Unit
"blasting | blasting | Cutoff, U",0.04450487551986704,mol N-Eq
"blasting | blasting | Cutoff, U",0.022277567156692237,mol N-Eq
"diesel, burned in building machine | diesel, burned in building machine | Cutoff, U",0.006852968821000434,mol N-Eq
"electricity production, hard coal | electricity, high voltage | Cutoff, U",0.005836381800203876,mol N-Eq
"electricity production, hard coal, conventional | electricity, high voltage | Cutoff, U",0.003949230510539056,mol N-Eq
"electricity production, hard coal | electricity, high voltage | Cutoff, U",0.0035778088048498565,mol N-Eq
