Process,Contribution,Unit
"coke production | coke | Cutoff, U",8.436165472463739e-08,CTUh
"coke production | coke | Cutoff, U",2.6284683941984687e-08,CTUh
"treatment of municipal solid waste, open burning | municipal solid waste | Cutoff, U",1.1790120902350174e-08,CTUh
"coke production, wet quenching | coke | Cutoff, U",1.1654913712641713e-08,CTUh
"coke production, wet quenching | coal gas | Cutoff, U",4.049572381067858e-09,CTUh
"chlor-alkali electrolysis, membrane cell | sodium hydroxide, without water, in 50% solution state | Cutoff, U",3.355942746014679e-09,CTUh
