Process,Contribution,Unit
"tin mine operation | tin concentrate | Cutoff, U",0.00033073857072864237,kg Sb-Eq
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",0.00023902747318333523,kg Sb-Eq
"silver-gold mine operation with refinery | silver | Cutoff, U",0.00021550282629265822,kg Sb-Eq
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",0.0002026599670073404,kg Sb-Eq
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",7.550820303261441e-05,kg Sb-Eq
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",4.8731035071625784e-05,kg Sb-Eq
