Process,Contribution,Unit
"electricity production, hydro, reservoir, alpine region | electricity, high voltage | Cutoff, U",2748.572077346254,m3 world Eq deprived
"electricity production, hydro, reservoir, alpine region | electricity, high voltage | Cutoff, U",189.67686242370584,m3 world Eq deprived
"electricity production, nuclear, pressure water reactor | electricity, high voltage | Cutoff, U",116.02573199927157,m3 world Eq deprived
"electricity production, nuclear, boiling water reactor | electricity, high voltage | Cutoff, U",82.7621574498916,m3 world Eq deprived
"gravel and sand quarry operation | gravel, round | Cutoff, U",6.756997926489414,m3 world Eq deprived
"uranium production, in yellowcake, in-situ leaching | uranium, in yellowcake | Cutoff, U",4.504704604566872,m3 world Eq deprived
