Process,Contribution,Unit
"coke production | coke | Cutoff, U",8.845842256559019e-08,CTUh
"coke production | coke | Cutoff, U",2.7561119880025644e-08,CTUh
"coke production, wet quenching | coke | Cutoff, U",1.5467023572000326e-08,CTUh
"treatment of municipal solid waste, open burning | municipal solid waste | Cutoff, U",1.181680848048824e-08,CTUh
"coke production, wet quenching | coal gas | Cutoff, U",4.493377275055082e-09,CTUh
"coke production, dry quenching | coke | Cutoff, U",4.08250446629318e-09,CTUh
