Process,Contribution,Unit
"electricity production, hard coal | electricity, high voltage | Cutoff, U",0.7887435690836183,kg CO2-Eq
"natural gas venting from petroleum/natural gas production | natural gas, vented | Cutoff, U",0.6110726110777643,kg CO2-Eq
"heat production, at hard coal industrial furnace 1-10MW | heat, district or industrial, other than natural gas | Cutoff, U",0.5139560831214213,kg CO2-Eq
"electricity production, hard coal, conventional | electricity, high voltage | Cutoff, U",0.4878356280505935,kg CO2-Eq
"electricity production, hard coal | electricity, high voltage | Cutoff, U",0.4844645142386804,kg CO2-Eq
"hard coal mine operation and hard coal preparation | hard coal | Cutoff, U",0.46319472580065774,kg CO2-Eq
