Process,Contribution,Unit
"coke production | coke | Cutoff, U",1.0731225679546469e-07,CTUh
"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, U",4.002954015425892e-08,CTUh
"coke production, wet quenching | coke | Cutoff, U",3.4032189547895116e-08,CTUh
"coke production | coke | Cutoff, U",3.3435436540176404e-08,CTUh
"chlor-alkali electrolysis, membrane cell | sodium hydroxide, without water, in 50% solution state | Cutoff, U",2.635377890728592e-08,CTUh
"treatment of copper scrap by electrolytic refining | copper, cathode | Cutoff, U",2.548895341434416e-08,CTUh
