Process,Contribution,Unit
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",6.7055263801845e-07,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",6.593463748643788e-07,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",1.317750142887415e-07,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",7.903091482145575e-08,CTUh
"gold production | gold | Cutoff, U",5.5695815433469166e-08,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",5.0448608625919256e-08,CTUh
