Process,Contribution,Unit
"treatment of water discharge from petroleum/natural gas extraction, onshore | water discharge from petroleum/natural gas extraction, onshore | Cutoff, U",20.392016488327013,CTUe
"road maintenance | road maintenance | Cutoff, U",6.1564619745172005,CTUe
"hard coal mine operation and hard coal preparation | hard coal | Cutoff, U",4.341190559408325,CTUe
"road maintenance | road maintenance | Cutoff, U",3.23378958339945,CTUe
"treatment of drilling waste, landfarming | drilling waste | Cutoff, U",2.461456706442627,CTUe
"treatment of sulfidic tailings, generic, tailings impoundment | sulfidic tailings, generic | Cutoff, U",1.9904255024520408,CTUe
