Process,Contribution,Unit
"coke production | coke | Cutoff, U",3.991753142800594e-09,CTUh
"coke production, wet quenching | coke | Cutoff, U",3.731065496148962e-09,CTUh
"uranium production, in yellowcake, in-situ leaching | uranium, in yellowcake | Cutoff, U",3.6300094763618542e-09,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",3.1768332291285712e-09,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",3.123742051577746e-09,CTUh
"treatment of lignite ash, opencast refill | lignite ash | Cutoff, U",2.036591264799366e-09,CTUh
