Process,Contribution,Unit
"electricity production, hydro, reservoir, alpine region | electricity, high voltage | Cutoff, U",1.5152782123119573,m3 world Eq deprived
"hard coal mine operation and hard coal preparation | hard coal | Cutoff, U",0.11253400767699813,m3 world Eq deprived
"copper production, cathode, solvent extraction and electrowinning process | copper, cathode | Cutoff, U",0.09610173854019254,m3 world Eq deprived
"wire drawing, copper | wire drawing, copper | Cutoff, U",0.08958506585443084,m3 world Eq deprived
"electricity production, nuclear, pressure water reactor, heavy water moderated | electricity, high voltage | Cutoff, U",0.08487323896131772,m3 world Eq deprived
"ferromanganese production, high-coal, 74.5% Mn | ferromanganese, high-coal, 74.5% Mn | Cutoff, U",0.08242044479675055,m3 world Eq deprived
