Process,Contribution,Unit
"blasting | blasting | Cutoff, U",0.8484532139636685,mol N-Eq
"blasting | blasting | Cutoff, U",0.4256241208490483,mol N-Eq
"diesel, burned in building machine | diesel, burned in building machine | Cutoff, U",0.19182385240317512,mol N-Eq
"electricity production, hard coal | electricity, high voltage | Cutoff, U",0.18468072885881154,mol N-Eq
"heat production, at hard coal industrial furnace 1-10MW | heat, district or industrial, other than natural gas | Cutoff, U",0.13120424583145168,mol N-Eq
"electricity production, hard coal | electricity, high voltage | Cutoff, U",0.12267293480438383,mol N-Eq
