Process,Contribution,Unit
"anaerobic digestion of manure | biogas | Cutoff, U",0.9583968364000016,kg CO2-Eq
"electricity production, hydro, reservoir, alpine region, renewable energy products | electricity, high voltage, renewable energy products | Cutoff, U",0.5936578312370527,kg CO2-Eq
"heat and power co-generation, biogas, gas engine, renewable energy products | electricity, high voltage, renewable energy products | Cutoff, U",0.17704546809150162,kg CO2-Eq
"electricity production, hydro, reservoir, alpine region | electricity, high voltage | Cutoff, U",0.022197182652452872,kg CO2-Eq
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014, renewable energy products | electricity, high voltage, renewable energy products | Cutoff, U",0.006182821069235245,kg CO2-Eq
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | Cutoff, U",0.0053455384792504435,kg CO2-Eq
