Process,Contribution,Unit
"purified terephthalic acid production | purified terephthalic acid | Cutoff, U",1.151838501267078e-06,kg CFC-11-Eq
"purified terephthalic acid production | purified terephthalic acid | Cutoff, U",2.7130080401772825e-07,kg CFC-11-Eq
"petroleum and gas production, offshore | natural gas, high pressure | Cutoff, U",5.608092750595928e-08,kg CFC-11-Eq
"petroleum and gas production, offshore | natural gas, high pressure | Cutoff, U",5.255150917894074e-08,kg CFC-11-Eq
"petroleum and gas production, offshore | natural gas, high pressure | Cutoff, U",5.149498965592465e-08,kg CFC-11-Eq
"petroleum and gas production, offshore | natural gas, high pressure | Cutoff, U",3.559677736137868e-08,kg CFC-11-Eq
