Process,Contribution,Unit
"lignite mine operation | lignite | Cutoff, U",57.69589008051969,CTUe
"treatment of sulfidic tailings, generic, tailings impoundment | sulfidic tailings, generic | Cutoff, U",25.19794770229749,CTUe
"uranium production, in yellowcake | uranium, in yellowcake | Cutoff, U",15.025138499116593,CTUe
"hard coal mine operation and hard coal preparation | hard coal | Cutoff, U",14.947037839464608,CTUe
"treatment of water discharge from petroleum/natural gas extraction, onshore | water discharge from petroleum/natural gas extraction, onshore | Cutoff, U",11.360223496817795,CTUe
"treatment of sulfidic tailings, from copper mine operation, tailings impoundment | sulfidic tailings, from copper mine operation | Cutoff, U",7.721292150868803,CTUe
