Process,Contribution,Unit
"mounting, surface mount technology, Pb-free solder | mounting, surface mount technology, Pb-free solder | Cutoff, U",2.225195992001154e-09,CTUh
"chlor-alkali electrolysis, membrane cell | potassium hydroxide | Cutoff, U",1.1065147938921255e-09,CTUh
"chlor-alkali electrolysis, membrane cell | sodium hydroxide, without water, in 50% solution state | Cutoff, U",7.922915586372183e-10,CTUh
"chlor-alkali electrolysis, membrane cell | chlorine, gaseous | Cutoff, U",2.5664984774429314e-10,CTUh
"chlor-alkali electrolysis, membrane cell | sodium hypochlorite, without water, in 15% solution state | Cutoff, U",1.7244598301174203e-10,CTUh
"processing of anode slime from electrorefining of copper, anode | gold | Cutoff, U",1.5558923151106783e-10,CTUh
