Process,Contribution,Unit
"soy-based resin production | polyester resin, unsaturated | Cutoff, S",0.036837051466777376,kg CO2-Eq
"soy-based resin production | polyester resin, unsaturated | Cutoff, S",0.012932888322436779,kg CO2-Eq
"electricity production, hydro, reservoir, tropical region | electricity, high voltage | Cutoff, U",0.004795462237601911,kg CO2-Eq
"electricity production, hydro, reservoir, tropical region | electricity, high voltage | Cutoff, U",0.0035587288748347963,kg CO2-Eq
"electricity production, hydro, reservoir, tropical region | electricity, high voltage | Cutoff, U",0.0032255553060444022,kg CO2-Eq
"electricity production, hydro, reservoir, tropical region | electricity, high voltage | Cutoff, U",0.0017706830718484281,kg CO2-Eq
