Process,Contribution,Unit
"gold mine operation and gold production, unrefined | gold, unrefined | Cutoff, U",0.003906114353702818,kg Sb-Eq
"silver-gold mine operation with refinery | gold | Cutoff, U",0.001904479854484482,kg Sb-Eq
"gold production | gold | Cutoff, U",0.0007047525938803362,kg Sb-Eq
"gold-silver mine operation with refinery | gold | Cutoff, U",0.000694221472221954,kg Sb-Eq
"silver-gold mine operation with refinery | silver | Cutoff, U",0.0006256772764574399,kg Sb-Eq
"gold production | gold | Cutoff, U",0.0005640184886787625,kg Sb-Eq
