Process,Contribution,Unit
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",5.194273761626501e-09,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",5.107467155602127e-09,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",1.0207632635383572e-09,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",6.121938591241987e-10,CTUh
"treatment of waste plastic, mixture, open burning | waste plastic, mixture | Cutoff, U",5.841309360410046e-10,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",3.9078794003486853e-10,CTUh
