Process,Contribution,Unit
"blasting | blasting | Cutoff, U",1.0080799107962852,kg N-Eq
"blasting | blasting | Cutoff, U",0.506560588123134,kg N-Eq
"diesel, burned in building machine | diesel, burned in building machine | Cutoff, U",0.1459219772902329,kg N-Eq
"heat production, at hard coal industrial furnace 1-10MW | heat, district or industrial, other than natural gas | Cutoff, U",0.039288275401053445,kg N-Eq
"treatment of spoil from lignite mining, in surface landfill | spoil from lignite mining | Cutoff, U",0.034554419198818846,kg N-Eq
"uranium production, in yellowcake, in-situ leaching | uranium, in yellowcake | Cutoff, U",0.033323632790779864,kg N-Eq
