Process,Contribution,Unit
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",2.9797301505321014e-09,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",2.929932955946963e-09,CTUh
"ferrochromium production, high-carbon, 68% Cr | ferrochromium, high-carbon, 68% Cr | Cutoff, U",6.339539310723204e-10,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",5.855677256349233e-10,CTUh
"treatment of basic oxygen furnace slag, residual material landfill | basic oxygen furnace slag | Cutoff, U",5.374442985518366e-10,CTUh
"steel production, electric, low-alloyed | steel, low-alloyed | Cutoff, U",4.31438846197697e-10,CTUh
