Process,Contribution,Unit
"petroleum and gas production, onshore | petroleum | Cutoff, U",15.011458308526265,"MJ, net calorific value"
"petroleum and gas production, onshore | petroleum | Cutoff, U",8.443034235499491,"MJ, net calorific value"
"petroleum and gas production, onshore | petroleum | Cutoff, U",6.801108669810849,"MJ, net calorific value"
"petroleum and gas production, onshore | petroleum | Cutoff, U",5.080754540813664,"MJ, net calorific value"
"petroleum and gas production, offshore | petroleum | Cutoff, U",4.482095077686325,"MJ, net calorific value"
"petroleum and gas production, onshore | petroleum | Cutoff, U",4.437479210214518,"MJ, net calorific value"
