Process,Contribution,Unit
"chloroform production | chloroform | Cutoff, U",1.5298264067631277e-10,CTUh
"chloroform production | chloroform | Cutoff, U",7.06110780042806e-11,CTUh
"anode production, for metal electrolysis | anode, for metal electrolysis | Cutoff, U",3.3009348404770935e-11,CTUh
"treatment of copper scrap by electrolytic refining | copper, cathode | Cutoff, U",3.281328226563085e-11,CTUh
"soy-based resin production | polyester resin, unsaturated | Cutoff, S",3.056171847795409e-11,CTUh
"chlor-alkali electrolysis, membrane cell | chlorine, gaseous | Cutoff, U",2.6197516620629292e-11,CTUh
