Process,Contribution,Unit
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",4.825521220753777e-10,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",4.744877200300555e-10,CTUh
"gold production | gold | Cutoff, U",3.291361703855747e-10,CTUh
"zinc mine operation | zinc concentrate | Cutoff, U",3.0867083304046406e-10,CTUh
"gold mine operation and gold production, unrefined | gold, unrefined | Cutoff, U",1.321700868368518e-10,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",9.482971086275235e-11,CTUh
