Process,Contribution,Unit
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",6.159056952216037e-07,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",6.056126907542133e-07,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",1.2103595927708664e-07,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",7.259026029775872e-08,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",4.6337280038937817e-08,CTUh
"treatment of lignite ash, opencast refill | lignite ash | Cutoff, U",2.992374928202489e-08,CTUh
