Process,Contribution,Unit
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",9.86182712069869e-06,CTUh
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",9.37774244835089e-06,CTUh
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",2.957077917477728e-06,CTUh
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",2.5353773156522326e-06,CTUh
"molybdenite mine operation | copper concentrate, sulfide ore | Cutoff, U",2.378476292634181e-06,CTUh
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",1.999239028613172e-06,CTUh
