Process,Contribution,Unit
"treatment of water discharge from petroleum/natural gas extraction, onshore | water discharge from petroleum/natural gas extraction, onshore | Cutoff, U",3.489191796130897,CTUe
"aluminium hydroxide production | aluminium hydroxide | Cutoff, U",3.2238807829570075,CTUe
"ferromanganese production, high-coal, 74.5% Mn | ferromanganese, high-coal, 74.5% Mn | Cutoff, U",0.7275397196356346,CTUe
"aluminium hydroxide production | aluminium hydroxide | Cutoff, U",0.5695963185407892,CTUe
"ferromanganese production, high-coal, 74.5% Mn | ferromanganese, high-coal, 74.5% Mn | Cutoff, U",0.3593013426338157,CTUe
"natural gas venting from petroleum/natural gas production | natural gas, vented | Cutoff, U",0.3349919381667668,CTUe
