Process,Contribution,Unit
"clinker production | clinker | Cutoff, U",23.839399490027485,kg CO2-Eq
"market for electricity, high voltage, renewable energy products | electricity, high voltage, renewable energy products | Cutoff, U",23.665197551389344,kg CO2-Eq
"clinker production | clinker | Cutoff, U",10.118722690400793,kg CO2-Eq
"diesel, burned in building machine | diesel, burned in building machine | Cutoff, U",9.003148681737063,kg CO2-Eq
"pig iron production | pig iron | Cutoff, U",7.805265539093127,kg CO2-Eq
"anaerobic digestion of manure | biogas | Cutoff, U",5.480226859654682,kg CO2-Eq
