Process,Contribution,Unit
"coke production | coke | Cutoff, U",4.054367393536438e-09,CTUh
"coke production, wet quenching | coke | Cutoff, U",3.763532639074452e-09,CTUh
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014, renewable energy products | electricity, high voltage, renewable energy products | Cutoff, U",2.7155881769985572e-09,CTUh
"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, U",1.7903924663772832e-09,CTUh
"coke production | coke | Cutoff, U",1.2632251687290678e-09,CTUh
"coke production, dry quenching | coke | Cutoff, U",9.933804481862906e-10,CTUh
