Process,Contribution,Unit
"coke production | coke | Cutoff, U",1.0082948337080631e-08,CTUh
"coke production, wet quenching | coke | Cutoff, U",9.359812132545825e-09,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",7.496594740891745e-09,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",7.3713117896918e-09,CTUh
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014, renewable energy products | electricity, high voltage, renewable energy products | Cutoff, U",7.361726145863436e-09,CTUh
"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, U",4.451038156033685e-09,CTUh
