Process,Contribution,Unit
"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, U",2.4053260915294615e-08,CTUh
"zinc mine operation | zinc concentrate | Cutoff, U",5.9894942365822515e-09,CTUh
"chlor-alkali electrolysis, membrane cell | sodium hydroxide, without water, in 50% solution state | Cutoff, U",5.636308236885372e-09,CTUh
"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, U",5.2946711823111875e-09,CTUh
"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, U",3.0828152854030933e-09,CTUh
"treatment of municipal solid waste, open burning | municipal solid waste | Cutoff, U",2.786371534432492e-09,CTUh
