Process,Contribution,Unit
"gold production | gold | Cutoff, U",2.4132735969466454e-07,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",1.9028023738490063e-07,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",1.871002776140558e-07,CTUh
"treatment of sewage sludge, 97% water, WWT, WW from wafer fabrication, landfarming | sewage sludge, 97% water, WWT, WW from wafer fabrication | Cutoff, U",1.118585227837345e-07,CTUh
"gold mine operation and gold production, unrefined | gold, unrefined | Cutoff, U",9.208353240336428e-08,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",3.739330751774705e-08,CTUh
