Process,Contribution,Unit
"natural gas venting from petroleum/natural gas production | natural gas, vented | Cutoff, U",0.04070202597650242,kg NMVOC-Eq
"heat production, at hard coal industrial furnace 1-10MW | heat, district or industrial, other than natural gas | Cutoff, U",0.020077731006618898,kg NMVOC-Eq
"electricity production, hard coal | electricity, high voltage | Cutoff, U",0.016126039110391746,kg NMVOC-Eq
"electricity production, hard coal | electricity, high voltage | Cutoff, U",0.012258579191039327,kg NMVOC-Eq
"electricity production, hard coal | electricity, high voltage | Cutoff, U",0.008355636474411857,kg NMVOC-Eq
"transport, freight, train, diesel | transport, freight, train, fleet average | Cutoff, U",0.008328780864316033,kg NMVOC-Eq
