Process,Contribution,Unit
"anaerobic digestion of manure | biogas | Cutoff, U",0.00107151669028478,kg CO2-Eq
"treatment of waste graphical paper, open dump, wet infiltration class (500mm) | waste graphical paper | Cutoff, U",0.00048548886773785223,kg CO2-Eq
"treatment of municipal solid waste, unsanitary landfill, wet infiltration class (500mm) | municipal solid waste | Cutoff, U",0.00027835651731970693,kg CO2-Eq
"treatment of municipal solid waste, sanitary landfill | municipal solid waste | Cutoff, U",0.0002721568142459826,kg CO2-Eq
"treatment of municipal solid waste, unsanitary landfill, dry infiltration class (100mm) | municipal solid waste | Cutoff, U",0.0002661219827768054,kg CO2-Eq
"treatment of municipal solid waste, unsanitary landfill | municipal solid waste | Cutoff, U",0.00025638770783839967,kg CO2-Eq
