Process,Contribution,Unit
"soy-based resin production | polyester resin, unsaturated | Cutoff, S",0.02384831266463751,kg CO2-Eq
"soy-based resin production | polyester resin, unsaturated | Cutoff, S",0.008372753846720779,kg CO2-Eq
"electricity production, hydro, reservoir, tropical region | electricity, high voltage | Cutoff, U",0.0012334333551801031,kg CO2-Eq
"electricity production, hydro, reservoir, non-alpine region | electricity, high voltage | Cutoff, U",0.0009721416072848547,kg CO2-Eq
"electricity production, hydro, reservoir, tropical region | electricity, high voltage | Cutoff, U",0.0009125760495151907,kg CO2-Eq
"electricity production, hydro, reservoir, tropical region | electricity, high voltage | Cutoff, U",0.0008245222825953063,kg CO2-Eq
