Process,Contribution,Unit
"treatment of waste plastic, industrial electronics, municipal incineration FAE | waste plastic, industrial electronics | Cutoff, U",1.1023729976143713e-09,disease incidence
"electricity production, hard coal, at coal mine power plant | electricity, high voltage, for internal use in coal mining | Cutoff, U",8.865912020280325e-11,disease incidence
"diesel, burned in building machine | diesel, burned in building machine | Cutoff, U",7.839521649491935e-11,disease incidence
"treatment of waste reinforced concrete, recycling | waste reinforced concrete | Cutoff, U",2.8797514057826235e-11,disease incidence
"iron sinter production | iron sinter | Cutoff, U",1.8285746409617056e-11,disease incidence
"heat production, at hard coal industrial furnace 1-10MW | heat, district or industrial, other than natural gas | Cutoff, U",1.4996375500263723e-11,disease incidence
