Process,Contribution,Unit
"gold production | gold | Cutoff, U",5.48716868696797e-07,CTUh
"treatment of sewage sludge, 97% water, WWT, WW from wafer fabrication, landfarming | sewage sludge, 97% water, WWT, WW from wafer fabrication | Cutoff, U",2.5587472281510743e-07,CTUh
"gold mine operation and gold production, unrefined | gold, unrefined | Cutoff, U",2.093759155707135e-07,CTUh
"market for wastewater from wafer fabrication | wastewater from wafer fabrication | Cutoff, U",6.261610905284311e-08,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",4.106489208234343e-08,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",4.0378616373357866e-08,CTUh
