Process,Contribution,Unit
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",2.4330360907310877e-07,CTUh
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",2.313606347705083e-07,CTUh
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",7.295481058704171e-08,CTUh
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",6.255092932683401e-08,CTUh
"molybdenite mine operation | copper concentrate, sulfide ore | Cutoff, U",5.8679984855760174e-08,CTUh
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",4.9323727247303334e-08,CTUh
