Process,Contribution,Unit
"treatment of water discharge from petroleum/natural gas extraction, onshore | water discharge from petroleum/natural gas extraction, onshore | Cutoff, U",0.0010182397546015,CTUe
"methyl methacrylate production, acetone cyanohydrin process, with ammonium sulfate recovery | ammonium sulfate | Cutoff, U",0.0001857892489284003,CTUe
"natural gas venting from petroleum/natural gas production | natural gas, vented | Cutoff, U",0.00011378971399438207,CTUe
"triazine-compound production | triazine-compound | Cutoff, U",9.067094183429474e-05,CTUe
"ferromanganese production, high-coal, 74.5% Mn | ferromanganese, high-coal, 74.5% Mn | Cutoff, U",6.852860589621627e-05,CTUe
"methyl methacrylate production, acetone cyanohydrin process, with ammonium sulfate recovery | ammonium sulfate | Cutoff, U",6.19297496428001e-05,CTUe
