Process,Contribution,Unit
"electricity production, hard coal | electricity, high voltage | Cutoff, U",0.4215891938328991,kg CO2-Eq
"natural gas venting from petroleum/natural gas production | natural gas, vented | Cutoff, U",0.26641422338559334,kg CO2-Eq
"electricity production, hard coal | electricity, high voltage | Cutoff, U",0.25844188402806567,kg CO2-Eq
"hard coal mine operation and hard coal preparation | hard coal | Cutoff, U",0.24082569284939284,kg CO2-Eq
"electricity production, hard coal, conventional | electricity, high voltage | Cutoff, U",0.22284947449077844,kg CO2-Eq
"electricity production, hard coal | electricity, high voltage | Cutoff, U",0.20843899667974636,kg CO2-Eq
