Process,Contribution,Unit
"lignite mine operation | lignite | Cutoff, U",288.5040282587853,CTUe
"treatment of sulfidic tailings, generic, tailings impoundment | sulfidic tailings, generic | Cutoff, U",125.98973851148745,CTUe
"uranium production, in yellowcake | uranium, in yellowcake | Cutoff, U",75.25782409562983,CTUe
"hard coal mine operation and hard coal preparation | hard coal | Cutoff, U",74.77614280598466,CTUe
"treatment of water discharge from petroleum/natural gas extraction, onshore | water discharge from petroleum/natural gas extraction, onshore | Cutoff, U",64.29159342383643,CTUe
"treatment of sulfidic tailings, from copper mine operation, tailings impoundment | sulfidic tailings, from copper mine operation | Cutoff, U",38.60646075434396,CTUe
