Process,Contribution,Unit
"blasting | blasting | Cutoff, U",0.0027086369819277114,kg N-Eq
"blasting | blasting | Cutoff, U",0.0013558479057212075,kg N-Eq
"diesel, burned in building machine | diesel, burned in building machine | Cutoff, U",0.000624946949707144,kg N-Eq
"electricity production, hard coal | electricity, high voltage | Cutoff, U",0.0005329466010045325,kg N-Eq
"treatment of spoil from lignite mining, in surface landfill | spoil from lignite mining | Cutoff, U",0.0004908821354029897,kg N-Eq
"treatment of spoil from hard coal mining, in surface landfill | spoil from hard coal mining | Cutoff, U",0.00038450931454710966,kg N-Eq
