Process,Contribution,Unit
"blasting | blasting | Cutoff, U",0.008500139868342627,kg N-Eq
"electricity production, hard coal | electricity, high voltage | Cutoff, U",0.004508440992977366,kg N-Eq
"blasting | blasting | Cutoff, U",0.0042442161577139655,kg N-Eq
"treatment of spoil from lignite mining, in surface landfill | spoil from lignite mining | Cutoff, U",0.0037922698665816233,kg N-Eq
"treatment of spoil from hard coal mining, in surface landfill | spoil from hard coal mining | Cutoff, U",0.0032139529633712564,kg N-Eq
"electricity production, hard coal | electricity, high voltage | Cutoff, U",0.0028453653642525273,kg N-Eq
