Flow,UUID,Unit,Amount,Direction,UUID_provider
wood wool,6e4f1a58-c17a-4c76-aecc-3b5180d4f6b5,kg,1e-13,Input,NO_PROVIDER
mexico_transport,,tkm,95.201140393,output,
S1,f3d6c5db-4ee0-49b7-9e30-5bae9603094a,LU,22.826721041,Input,680e3b2a-731f-43b7-900b-63890fe24d9b
SS1,fa3c3c94-9612-40f7-854a-f2ded8eff650,LU,4.22716847105,Input,63ca2aac-ea5c-4e3b-bb36-ba70c0c0f940
P2,a4ba7e3c-dfc2-4fb3-9df8-4490a3755279,LU,18.60755257,Input,05f6f4ce-0d6b-49f5-8c48-a22f9dfff7d0
P1,469c38fd-fdf7-4ea8-8070-63266c0f9017,LU,4.21916847105,Input,ac67c1f6-1ffe-45e9-ae36-3d91bd13a01d
