Flow,UUID,Unit,Amount,Direction,UUID_provider
wood wool,6e4f1a58-c17a-4c76-aecc-3b5180d4f6b5,kg,1e-13,Input,NO_PROVIDER
connector_system_transport,,tkm,214.775163986,output,
S2,a43f4c7e-a921-405f-9665-5d2223e33114,tkm,106.34803,Input,e2809657-7e95-44b1-9251-29da0002be47
