Flow,UUID,Unit,Amount,Direction,UUID_provider
"transport, freight, inland waterways, barge, diesel",068bf76a-bfaa-435c-85ed-3d2bb2c4bb4f,tkm,0.27,Input,08322036-5c96-3ea4-8959-91516a2c9ac9
"transport, freight, lorry, >32 metric ton, diesel, EURO 4",fea783cd-1b3e-47ed-a4a1-346094ebc39a,tkm,0.13,Input,398aa54a-73b1-3723-bc32-8abcea91d478
"transport, freight, train, fleet average",0ace02fa-eca5-482d-a829-c18e46a52db4,tkm,0.24,Input,398aa54a-73b1-3723-bc32-8abcea91d478
P2,,tkm,1,Output,
