Flow,UUID,Unit,Amount,Direction,UUID_provider
magnet_transport,,tkm,42.51596,output,
S1,2a15cb25-a48d-42c7-9c56-c677b161539d,tkm,57.454,Input,7020925a-f8af-44b0-b9eb-ce694dace5a6
P2,3740ee4f-93e4-49b2-9e57-c7bedfbfa4b0,tkm,57.454,Input,3c646b95-1e7c-414a-8e15-1e7db68dc3c0
R3,ad8b8c46-7f50-49b5-b453-8bbffbf559df,tkm,57.454,Input,93e12cb7-82ed-4a39-a337-efc6d3dafdcd
