Flow,UUID,Unit,Amount,Direction,UUID_provider
"transport, freight, lorry, >32 metric ton, diesel, EURO 4",fea783cd-1b3e-47ed-a4a1-346094ebc39a,tkm,1,Input,3567ff11-97f0-3b82-be58-c5113dda6348
"transport, freight, sea, ferry, heavy fuel oil",82befb8d-fc52-4942-b53f-67b526eb0c25,tkm,18,Input,4db91e17-21c4-3b34-9589-b0dee5fa5ae3
P1,,tkm,1,Output,
