Flow,UUID,Unit,Amount,Direction,UUID_provider,Transport_phase_codes
"aluminium alloy, AlMg3",e77d9460-e423-4e88-8c44-d1a4545b0b07,kg,10.35367127,Input,7bdbbe9c-3781-3552-9841-3ad084af346d,"P2,S1"
"metal working, average for aluminium product manufacturing",8c3b8032-b310-4dfe-9a9b-93fbd369142d,kg,10.35367127,Input,5421390b-1035-346c-89e1-6fe2f4a01aef,
"copper, cathode",fbb039f7-f9cc-46d2-b631-313ddb125c1a,kg,0.004,Input,9e4d4bb4-2aed-3ef2-9caa-46439cf1c523,"P2,S1"
"metal working, average for copper product manufacturing",ec161f58-adae-4afc-ba38-14659925b080,kg,0.004,Input,05199773-548f-31b2-88b4-f1f8d6f9da98,
mechanical_components,,kg,10.35767127,Output,,
